Turgenyev	Ivan S.Turgenev.
- És megint olyan lesz, mint azelőtt?	"Và chị sẽ trở lại như xưa?"
- kérdeztem.	tôi hỏi.
Arcához emelte a rózsát, s nekem úgy tetszett, mintha a virító színű szirmok visszfénye arcára hullana.	Zinaida đưa đóa hoa lên mặt, và tôi tưởng tượng những hoa ảnh rơi trên đôi má hồng.
- kérdezte.	nàng vặn hỏi.
- Meg bizony, megváltozott - feleltem halkan.	"Vâng, chị thay đổi lắm," tôi lí nhí trả lời.
- Hideg voltam magához... tudom - kezdte Zinaida -, de nem kellett volna zokon vennie... nem tehettem másként... No de miért beszéljünk erről!	"Chị đã lạnh nhạt với em, chị biết," Zinaida bắt đầu, "nhưng em đừng để tâm... chị không thể nào làm khác hơn... Nào, tại sao chúng ta lại bàn về chuyện ấy nhỉ?"
- Maga nem akarja, hogy szeressem... ez az oka!	"Em biết mà, phải rồi, chi không muốn cho em yêu chị!"
- kiáltottam fel komoran, önkéntelen kitöréssel.	không thể kiềm chế, tôi kêu lên vô vọng.
- Dehogynem, szeressen, de nem úgy, mint eddig.	"Không phải thế, em cứ yêu quý chị, nhưng theo cách khác."
- Mit mond?	"Cách nào?"
- Legyünk jó barátok... azt mondom - Zinaida megszagoltatta velem a rózsát.	"Chúng ta hãy là bạn tốt -- thế nhé!" Zinaida trao cho tôi đóa hồng để ngửi hương thơm.
- Ide hallgasson, hiszen én sokkal idősebb vagyok magánál, nagynénje lehetnék, de ha nem is nagynénje: nénje.	"Nghe đây, em biết là chị lớn tuổi hơn em nhiều -- chị có thể là cô, dì của em, thật thế; ơ mà không, không hẳn là cô dì, nhưng chắc có thể là chị cà.
Maga pedig...	Còn em..."
- Én a maga szemében gyermek vagyok - szakítottam félbe.	"Chị nghĩ em là trẻ nít" tôi ngắt lời.
- Hát persze hogy gyermek, de kedves, jó és okos gyermek, akit nagyon szeretek.	"Vâng, đúng vậy, nhưng là một đứa trẻ dễ thương, thông minh, ngoan ngoãn mà chị rất yêu quý.
Tudja, mit?	Em biết không?
Mától kezdve apródommá nevezem ki, s ne felejtse el, hogy az apródoknak nem szabad úrnőik mellől távozniuk.	từ hôm nay trở đi, chị phong tước tiểu đồng cho em, không được quên tiểu đồng phải luôn luôn ở cạnh quý nương của mình.
Itt van új tisztségének a jelvénye - tette hozzá, s zekém gomblyukába tűzte a rózsát -, maga iránt tanúsított kegyünk jele ez.	Biểu tượng cho tước vị mới của em đây," nàng nói, cài đóa hoa vào chiếc khuy trên ve áo của tôi, "biểu tượng cho đặc ân đây."
- Maga régebben kegyének más jeleivel tüntetett ki - mormogtam.	"Có lần chị ban cho em những đặc ân khác," tôi ấp úng.
- Á!	"A!"
- mondta erre Zinaida, s oldalról nézett reám.	nàng vừa trả lời vừa liếc tôi.
- Milyen jó memóriája van!	"Chú chàng nhớ dai quá nhỉ?
Hiszen én most is kész vagyok... - S hozzám hajolva, tiszta és nyugodt csókot nyomott a homlokomra.	thôi được, chị đã sẳn sàng....." và nàng cúi xuống, đặt một chiếc hôn tinh khiết, an lành lên trán tôi.
Csak néztem őt, ő pedig elfordult, és ezt mondta: "apródom, kövessen", s megindult a szárny­épület felé.	Tôi vẫn nhìn khi nàng quay lưng đi và nói, "Tiểu đồng, đi theo ta, " và bước vào nhà nàng.
Követtem őt - de még mindig nem értettem a dolgot.	Tôi theo sau -- ngẩn ngơ.
"Ez a szelíd, meggondolt lány... ugyanaz a Zinaida volna, akit ismertem?" A járását is nyugodtabbnak láttam - s mintha egész alakja fenségesebb és karcsúbb lett volna...	"Có thể nào người thiếu nữ thùy mi, khôn ngoan này," tôi thầm nghĩ, "lại là chị Zinaida mà ta đã quen biết?" Rồi tôi hình dung ra dáng đi đằm thắm hơn, hình bóng uy nghi, duyên dáng hơn.
Milyen új erővel lobbant fel bennem a szerelem!	một tình yêu tươi mới đang bừng bừng thiêu đốt hồn tôi!
16	Chương 16
Ebéd után ismét összegyűltek a szárnyépületben a vendégek - a hercegkisasszony is kijött hozzájuk.	Sau buổi ăn tối, nhóm người quen thuộc lại tụ tập ở nhà nàng, và nàng tiếp đãi họ.
Megint elkezdődött a zálogosdi, de most elmaradtak a múltkori különös csintalanságok, bolondozások, zajongások - a cigányos vonások eltűntek.	Trò Nộp phạt lại được tiếp tục, nhưng thiếu các trò đùa tai ác, các câu pha trò tinh quái và sự náo nhiệt --- yếu tố gipsy không còn nữa.
Zinaida új hangu­latot teremtett társaságunkban.	Zinaida điều hành trò chơi theo một phong cách khác.
Én mellette ültem, az apródság jogán.	Tôi ngồi cạnh nàng với tư cách tiểu đồng.
Zinaida nem hagyta, hogy befejezze.	Zinaida không cho ông kể hết.
- "Ha már a kitalálásnál tartunk - mondta -, meséljen el mindenki valami teljesen költött esetet." - Megint Belovzorovnak jutott az elsőség.	"Nếu như chúng ta phải tập làm văn," nàng nói, "tất cả mọi người hãy bịa ra một câu chuyện gì đó, đừng giả vờ nữa."
A fiatal huszár zavarba esett.	Một lần nữa, Byelovzorov lại là người đầu tiên.
- Badar beszéd!	"Vô lý!"
- csapott le rá Zinaida.	Zinaida nói.
- Képzelje el például, hogy házasember, s mondja el nekünk, hogy töltené az idejét a feleségével.	"Này, hãy tưởng tượng là ông đã có gia đình, và kể cho chúng tôi nghe cách đối xử với vợ ông.
Bezárná a szobába?	Liệu ông sẽ giam giữ nàng ?"
- És maga is ott maradna vele?	"Và ông sẽ luôn luôn ở bên cạnh nàng ?"
- Feltétlenül vele maradnék.	"Vâng, đương nhiên tôi sẽ ở bên cạnh nàng."
- Nagyszerű.	"Tốt lắm.
S ha ő ezt megunná, s megcsalná magát?	Nhưng nếu nàng phát chán và phản bội ông thì sao?"
- Megölném.	"Tôi sẽ giết nàng."
- De ha megszökne?	"Vá nếu nàng chạy trốn?"
No és tegyük fel, hogy én lennék a maga felesége, mit csinálna akkor?	Một phút trôi qua, rồi Byelovzorov nói: "Thì tôi sẽ tự tử...."
- Magamat ölném meg...	"Chuyện của ông ngắn ngủn à."
Zinaida elnevette magát.	Zinaida cười.
- Látom, nem teketóriázik.	Người tiếp theo là Zinaida.
A második zálognál Zinaidára került a sor.	Nàng nhìn lên trân nhà, nghĩ ngợi.
Képzeljenek el egy pompás palotát; nyári éjszakát s egy csudaszép bált.	Hãy hình dung một lâu đài lộng lẫy, một đêm mùa hạ, và một vũ hội huy hoàng do nữ hoàng triệu tâp.
Egy fiatal királynő bálja ez.	Đầy đủ tất cả những thứ xa hoa.
Mindenütt arany, márvány, kristály, selyem, fény, gyémánt, virág, jó illatú füst: a fényűzésnek minden leleménye.	Bạc vàng, châu báu, kim cương, lụa là, gấm vóc, pha lê, hoa đăng, hương liệu."
- Szereti a fényűzést?	"Công nuơng thích những thứ xa hoa?"
- szakította félbe Lusin.	Lushin chêm vào.
- A fényűzés szép, és én minden szépet szeretek.	"Những thứ xa xỉ đều đẹp," nàng trả đủa; "tôi thích cái đẹp."
- A gyönyörűnél is jobban?	"Thích cái đẹp hơn sự cao quý?"
- kérdezte Lusin.	ông hỏi.
- Ez ravasz kérdés, nem értem.	"Chuyện đó cao siêu quá, tôi không biết.
Tehát: a csudaszép bál.	Vì vậy vũ hội thật linh đình.
Sok-sok vendég, mind fiatalok, szépek, vitézek, s valamennyien őrülten szerelmesek a királynőbe.	Đông đảo khách, tất cả đều trẻ, khôi ngô tuấn tú và yêu thương nữ hoàng."
- Hát nők nincsenek a vendégek között?	"Không có phụ nữ trong giới quan khách?"
- kérdezte Malevszkij.	Malevsky hỏi.
- Nincsenek... azaz hogy várjon... vannak.	"Không có --hay là ...xem nào -- vâng, cũng có một vài cô, bà."
- Azok is mind szépek?	"Tất cả phụ nữ đều xấu xí ?"
- Gyönyörűek.	"Không, họ duyên dáng chứ.
De a férfiak valamennyien a királynőbe szerelmesek.	Nhưng tất cả quan khách nam phái đều chỉ yêu một mình nữ hoàng.
Zinaidára néztem - ebben a pillanatban mindnyájunknál magasabbnak láttam, olyan ragyogó értelem s olyan hatalom áradt fehér homlokáról és mozdulatlan szemöldökéről, hogy ezt gondoltam: "Te magad vagy ez a királynő!"	Tôi nhìn Zinaida, và trong thoáng chốc ấy, dường như nàng cao quý hơn hết, nét thông minh ngời ngợi, vẽ uy nghi của đôi mày liễu làm cho tôi nghĩ ngay rằng: "Chị chính là vì nữ vương ấy!"
- Valamennyien körülötte tolonganak - folytatta Zinaida -, s a leghízelgőbb szavakkal áradoznak.	"Họ vây quanh nàng," Zinaida tiếp tục nói, "và họ đua nhau nói lời tán tụng,"
- És ő szereti a hízelgést?	"Vậy nàng thích những lới tâng bốc?"
- Milyen kiállhatatlan!	"Tôi chưa nghĩ ra.
Mindig félbeszakít... Hát ki nem szereti a hízelgést?	Không, tại sao nàng cần phài có chồng?"
- Még csak egy utolsó kérdést - jegyezte meg Malevszkij -, van a királynőnek férje?	"Hỏi cho chắc thôi," Malvesky đồng ý, "tại sao nàng cần có chồng nhỉ ?"
- Erre nem is gondoltam.	"Silence!"
- Hát persze - kapta fel a szót Malevszkij -, minek lenne férje?	Meidanov kêu lên, rất dở, bằng tiếng Pháp.
- Merci - köszönte meg Zinaida.	"Merci" Zinaida nói với ông.
- Tehát: a királynő hallgatja, amit mondanak, hallgatja a zenét, de nem néz egyik vendégre sem.	"Và như thế, nữ hoàng nghe những lời tán tụng và nhã nhạc, nhưng nàng không ngó ngàng tới ai.
Hat ablak a mennyezettől a padlóig teljesen kitárva, s mögöttük a sötét égen a nagy csillagok, s a sötét kertben a nagy fák.	Sáu chiếc cửa sổ mở toang từ cao xuống thấp, từ sàn đến trần; bên ngoài xa kia, bầu trời đen thẩm với những vì sao sáng, vườn ngự uyển cây cối um tùm.
A királynő lenéz a kertbe.	Nữ hoàng chăm chú ngó ra vườn.
Ott a fák mellett szökőkút van: fehérlik a homályban - felnyúlik hosszan, mint valami kísértet.	Giữa tiếng chuyện trò và âm nhạc, nữ hoàng nghe tiêng nước chảy thánh thót.
A királynő a szavakon és muzsikán át hallja a víz csendes csobogását; néz-néz, és azt gondolja: maguk, uraim, valamennyien nemesvérűek, okosak, gazdagok, körülvettek engem, sokra tartják minden egyes szavamat, mindannyian készek lábam előtt meghalni értem, uralkodom magukon... de ott a csobogó víz mellett áll és vár reám az, akit szeretek, aki ural­kodik felettem.	Nàng đăm đắm nhìn, và nghĩ rằng: tất cả các ngươi, bọn công tử, quý tôc, thông thái và giàu sang đang vây quanh, trân trọng từng lới nói của ta, sẳn sàng quỳ chết dưới chân ta, ta đầy uy lực ... nhưng ngoài kia, bên cạnh bồn phun nước, có một kẻ đợi chờ, đó là người ta yêu dấu, người nắm trong tay quyền uy.
Rajta nincs ékes ruha, sem drágakő, senki sem ismeri, de vár engem, és bizonyos benne, hogy ott leszek... s ott is leszek, és nincs olyan hatalom, mely vissza tudna tartani, ha hozzá akarok menni s vele akarok maradni, elveszve vele ott a sötét kertben, a lombsuhogásban, szökőkútcsobogásban...	Chàng không có lụa là châu báu, là một kẻ vô danh, nhưng chàng đang đợi và chắc chắn ta sẽ đến -- và sẽ gặp - - không một sức mạnh nào có thể ngăn được, ta sẽ đến, sẽ cùng nhau biến mất trong bóng tối, trong tiếng thì thầm của cây cỏ, trong tiếng róc rách của bồn nước..." Zinaida ngưng lại.
- kérdezte ravaszul Malevszkij.	Malevsky hỏi một cách tinh quái.
Zinaida rá sem nézett.	Zinaida không nhìn ông ta.
- Várjon csak, várjon - szakította félbe Zinaida -, magam mondom meg, hogy ki-ki mit tenne maguk közül.	"Khoan đã, "Zinaida chen vào, "hãy để tôi kể chuyện các bạn sẽ làm.
- Mint udvari orvos - felelte Lusin -, azt tanácsoltam volna a királynőnek, hogy ne adjon bálokat, ha a vendégekkel nem törődik.	"Bằng quyền hạn của một Ngự y," Lushin nói, "tôi sẽ khuyên nữ hoàng đừng tổ chức dạ vũ khi ngài không ở trong tâm trạng thích xã giao..."
- Lehet, hogy igaza lett volna.	"Chắc ông nói đúng.
És maga, gróf?	Còn ngài, Bá tước?"
- Nos, én?	"Tôi à?"
- kérdezte gonosz mosolyával Malevszkij.	Malevsky lập lại, vẫn với nụ cười nham hiểm.
- Maga mérgezett cukorkát adott volna neki.	"Ngài sẽ mời người ấy ăn kẹo tẩm thuốc độc?"
Malevszkij arca kissé elborult, s egy pillanat alatt zsidós kifejezésűvé vált, de nyomban utána kacagni kezdett.	Malevsky biến sắc, nhưng chỉ trong giây lát đã lấy lại vẽ bình thản Do thái và cười dòn tan.
- Ami pedig magát illeti Voldemar - folytatta Zinaida -, no de elég ebből, kezdjünk más játékot.	"Còn em, Voldemar, ..." Zinaida tiếp tục, "nhưng thôi, đủ rồi; chúng ta chơi trò chơi khác nhé."
- Mszjő Voldemar, a királynő apródjának tisztében, az uszályát tartotta volna, mikor lefut a kertbe - jegyezte meg Malevszkij epésen.	"Cậu Voldemar, với tư cách tiểu đồng, khi nữ hoàng chạy trốn trong vườn, cậu sẽ theo sau nâng tà áo của nàng," Malevsky nói một cách độc địa.
- Kérem, hercegkisasszony - mormogta Malevszkij egészen elsápadva.	"Dựa vào lời nói của tôi, công nương," Malevsky lắp bắp, mặt tái xanh.
- A hercegkisasszonynak igaza van - kiáltotta Belovzorov, s ő is felállt.	"Công nương nói đúng," Byelovzorov kêu lên, và ông ta cũng đứng dậy.
Zinaida hidegen végignézte, s hidegen elmosolyodott.	Zinaida lạnh lùng nhìn ông ta từ đầu đến chân, và cười nhạt.
- Nem bánom, maradjon - mondta aztán hanyag kézmozdulattal.	"Vậy ông có thể ở lại," nàng vừa nói vừa khoát tay ra vẽ bất cần.
- Mi, mszjő Voldemarral hiába haragudnánk.	"Câu Voldmar và tôi không cần phải nóng nảy như thế.
Maga szeret epéskedni... szolgáljon egészségére.	Nếu ông thích châm chọc.. cũng tốt cho ông."
- Bocsásson meg - ismételte Malevszkij, s én, visszaemlékezve Zinaida mozdulatára, megint arra gondoltam, hogy királynő sem tudott volna vakmerő fickónak ajtót mutatni nagyobb méltósággal.	"Xin hãy tha thứ cho tôi," Malevsky lập lại; trong khi ấy, hãy còn ám ảnh bởi cái khoát tay của Zinaida, tôi tự nhủ lòng, không một nữ hoàng nào có thể tống cổ một người khách thiếu lễ độ một cách oai vệ như nàng.
A zálogosdi már csak rövid ideig tartott e kis jelenet után; egy kicsit mindenki kényelmetlenül érezte magát, nemcsak a jelenet, hanem valami más, meglehetősen határo­zatlan, de súlyos érzés miatt.	Sau đó, trò nộp phạt tiếp tục kéo dài thêm một thời gian ngắn; ai nấy đều cảm thấy thiếu thoải mái, không hẳn vì câu chuyện vừa xảy ra, mà vì một cảm giác ngột ngạt, cho dù không rõ rệt.
Senki sem beszélt róla, de mindenki megérezte magában is, szomszédjában is.	Không ai nói lên, nhưng ai cũng ý thức được cảm giác ấy, ở bản thân và ở người bên cạnh.
