ANTOINE DE SAINT-EXUPÉRY	Antoine de Saint-Exupéry
Mégis elgondolkodom: nem segít a holdfény, és nincs rádiónk, nem köt semmi - egy vékonyka szál sem köt a világhoz, míg föl nem csillan előttünk a Nílus fényszalagja.	Chúng tôi đang lần mò dò dẫm vượt qua cái hang sâu thung lũng tối mò của những chuyện thần tiên kinh dị, là cái vùng thung lũng của thử thách chầy chầy.
A tündérmesék, a megpróbáltatás völgyén kelünk át.	Đây, không hòng ngóng đợi độ lượng bao dung.
A villamos kapcsolótábla hasadékán fény szűrődik ki.	Một luồng tia sáng lóe ra từ một kẽ máy điện phân phối.
Fölkeltem Prévot-t, hogy tömje el a rést.	Tôi gọi Prévot dậy tắt nó đi.
Prévot mocorog a homályban, mint egy medve, megrázkódik, előrejön.	Prévot rục rịch cựa mình trong bóng tối, èo ụt như con gấu ù lì, phì phạch rũ lông, lò dò tiến lại.
A fénycsík eltűnik.	Luồng tia sáng chợt tắt.
És különösképpen: elvakított, kioltotta a többi ragyogást.	Nhất là nó lại làm chóa mắt tôi, và xóa mờ những tia vàng man mác khác.
Odanézek.	Tôi ngó vào.
Meg-megszakad, hol kiemelkedik, hol eltűnik: belerepülök egy felhőbe, az veri vissza a lámpa fényét.	Một loại ánh sáng lúc giật lúc buông, lúc chùng lúc thẳng, chớm kề cà, chợt lẩn bóng đi đâu: ha!
Jobban szerettem volna, ha célpontjaim közelében tiszta az ég.	thế là tôi lại bay vào vòng thao túng của một áng mây.
Valahol egy felhőgomoly sűrűjén haladok át, és nem tudom, milyen vastag.	Ánh sáng dồn tụ, dừng im, tỏa rộng, kết thành tại đó một cụm đóa hồng vàng.
Kétezerötszáz méter magasra emelkedem, és még mindig nem bukkanok ki belőle.	Những luồng khí thăm thẳm trở cơn bỗng làm cho phi cơ tôi xiêu lệch.
Leereszkedem ezerméterre, a fénycsokor állandóan ott van, mozdulatlan, és egyre élesebb.	Tôi lái lên cao tới hai ngàn năm trăm thước mà chẳng thấy nhô khỏi để thoát ra.
Jól van.	Tốt.
Annyi baj legyen.	Tốt lắm.
A szél nem gyöngült, óránként több mint háromszáz kilométeres sebességgel kell haladnom." De ezek után nem tudok semmi biztosat; majd megpróbálok tájékozódni, ha kiértem a felhőből.	Tôi tính nhẩm: "Tại đây, mình lai rai sụt trồi chút ít, mình nhảy lộn, nhào lầm ít nhiều, đó chẳng qua cũng là thuận lẽ thường thôi ạ, có chi đâu mà phải lấy làm điều.
A fénycsóva hirtelen elhalványul: eltűnése figyelmeztet rá, hogy kijutottam.	Chính vì nó vụt biến nên tôi chợt biết là mình vừa ra khỏi đám mây.
Előrenézek, és meglátom - már amennyire egyáltalán látni lehet - az ég egy keskeny csíkját, és egy következő felhőgomoly falát.	Tôi nhìn thấy đằng trước và thấy lờ mờ, nếu quả còn lờ mờ thấy được chút chi, một thung lũng thanh thiên eo hẹp và bức thành trùng điệp mây giăng.
A fénycsokor újra fölvillan.	Chùm hoa sẽ tái hiện.
Nem fogok kiszabadulni ebből a kelepcéből, legföljebb pár másodpercre.	Tôi sẽ không ra khỏi cái cõi nhựa dằng dai này, trừ một vài giây phút ngắn.
Nem merek mélyebbre ereszkedni: ha véletlenül lassabban haladok, mint számítottam, akkor még magas vidék fölött repülök.	Có lẽ may ra tôi sẽ thấy con sông Nil qua các khoảng trống trong vùng mây dằng dặc, nhưng rủi là khoảng trống ít quá.
De határt szabok nyugalmamnak: négy és negyed óra múltán még akkor is át kell haladnunk a Nílus völgyén, ha semmi szél nincs, ami csöppet sem valószínű.	Nhưng tôi không muốn mình điềm nhiên thanh thản mãi, tôi đặt một giới hạn cho yên tĩnh: bốn giờ mười lăm phút bay.
Amikor egy-egy felhő rojtos szélébe érek, a fénycsóva egyre halványabb világosságot vet, azután egyszerre kialszik.	Sau thời hạn đó, thì dẫu có đứng gió, mà gió đứng đó là điều mười phân không chắc chín, tôi hẳn cũng sẽ vượt quá lưu vực sông Nil.
Ezt a természetfölötti világosságot, ezt a háromkirályok csillagát, ezt a veszélyes fölhívást sem szeretem.	Tôi thật cũng chẳng ưa gì cái thứ ánh sáng siêu nhiên này, cái thứ tinh cầu ảo thuật, cái thứ quyến rũ mê hoặc tai hại kia.
Prévot fölébredt; rávilágít a számlapokra.	Prévot chợt thức dậy và bấm đèn rọi các mặt kính động cơ.
Visszatuszkolom lámpájával együtt: éppen két felhő között vagyok egy hasadékban, fölhasználom az alkalmat, lenézek.	Tôi vừa bay tới một khe hở long lanh giữa hai đóa mây ngàn phiêu hốt, tôi nhân cơ hội mà nhìn ngó xuống phía dưới kia.
Prévot újra elalszik.	Prévot quay đi ngủ lại.
Egyébként semmi látnivaló nincs.	Cũng chẳng có chi dưới đó mà nhìn.
- Már el kellett volna érnünk Kairót.	- Lẽ ra tới Le Caire rồi mới phải…
- Én is azt hiszem...	- Tôi cũng nghĩ vậy…
- Csillag az ott, vagy jelzőlámpa?	- Kia đó là sao hay ngọn đèn pha vậy?
Lassítottam kissé, bizonyára ez ébresztette föl.	Tôi đã hãm bớt máy, chắc vì thế mà Prévot thức giấc.
Bizonyára túlhaladtam rajtuk, így tehát bal felől kell feltűnniük.	Như vậy tôi sẽ đón nhận ánh lửa các thành phố chiếu về các tấm kính cửa sổ.
Ekkor azonban egy másik felhő mellé kerülök, bal oldalamon gomolyog lefelé.	Nhưng cũng đang bay dọc một đám mây thấp hơn ở về mé bên trái.
Nem merek többé veszíteni magasságomból.	Tôi không dám liều xuống thêm nữa.
Prévot felém hajol.	Prévot nghiêng người.
Fülébe kiáltok: "Egészen a tengerig megyek, ott fogok leszállni, nehogy nekimenjek valaminek..."	Kể ra thì cũng chẳng có gì chứng tỏ là tôi đã không lạc ra biển trước mất rồi.
Semmi nem bizonyítja különben, hogy nem tévedtem-e máris a tenger felé.	Dưới đám mây kia, bóng tối quả là dằng dặc đen kịt tối sầm.
A felhő alatt áthatolhatatlan sötétség.	Tôi dán mắt vào khuôn cửa sổ.
Homlokomat az ablakra szorítom, szeretném elolvasni: mi van alattam.	Tôi cố gắng tìm cho thấy những đốm lửa, những dấu hiệu.
Hamuban keresgélek, egy tűzhely mélyén az élet parazsát keresem...	Tôi là một gã hì hục se lòng đưa tay mò vào cái đáy của một lò sưởi sâu hang.
- Tengeri világítótorony!	- Một ngọn hải đăng!
Mert ugyanabban a pillanatban, amikor Prévot-tal előrehajoltunk, hogy megtaláljuk, háromszáz méterre szárnyaink alatt - hirtelen...	Vì chính trong cái giây mà Prévot và tôi cùng nghiêng đầu tìm lại nó, ở dưới mình ba trăm thước, thì bất thình lình…
- Ah!	- A!
Azt hiszem, semmi mást nem mondtam.	Tôi nhớ rõ mình không nói gì khác nữa.
Kétszázhetven kilométeres sebességgel nekiütköztünk a földnek.	Với tốc độ hai trăm bảy mươi cây số một giờ, chúng tôi chạm máu tim vào đất.
Nem éreztünk semmi izgalmat, se Prévot, sem én.	Cả Prévot, cả tôi, không đứa nào cảm thấy một chút xíu xúc động.
- Ugorjon ki gyorsan!	- Prévot, nhảy mau!
Húszméternyire a géptől megállunk.	Chúng tôi đứng ra xa hai mươi thước.
- Semmi baja?	- Không hề gì?
- kérdeztem Prévot-t.	Anh ta trả lời:
- Semmi bajom - felelt.	- Không hề gì!
- Semmi - mondta -, csak a pumpa...	- Không hề chi cả, chỉ tại cái bôm trừ lửa.
- A pumpa... a pumpa...	- Chỉ tại cái bôm trừ lửa đấy!...
Azt gondoltam: szegény, megőrült, mindjárt táncra kerekedik...	Tôi, tôi nghĩ: anh ta điên rồi đó, anh ta sắp hoa tay múa chân…
Végre elfordult a repülőgéptől, amely most már biztosan megmenekült a lángbaborulástól, rám nézett, azt mondta:	Nhưng mắt anh đã rời chiếc phi cơ, bây giờ chắc chắn là khỏi cháy, anh quay lại nhìn tôi và bảo:
- Semmi, csak a pumpa ütötte meg kicsit a térdemet.	- Không can chi cả, chỉ tại cái bôm trừ lửa nó móc vào đầu gối tôi.
Ha fölkel a nap, majd világosan látni fogjuk, hogy szinte súrlódva, egy puszta fennsík tetejének szelíd lejtőjébe ütköztünk.	Sáng ngày ra, chúng tôi mới thấy rõ là phi cơ chúng tôi đã chạm dọc nhiều một mặt dốc dịu, ở trên một dải cao nguyên hoang liêu.
Prévot kikapcsolja az akkumulátort, nehogy egy rövidzárlat esetleg mégis lángba borítsa a gépet.	Prévot lo bứt dây cho các hòm chứa điện để tránh sự nổ cầu chì gây hỏa hoạn về sau.
Prévot mellém ül.	Prévot tới ngồi cạnh tôi và bảo:
- Rendkívüli dolog, hogy élünk - mondja.	- Còn sống, thật là chuyện lạ lùng…
Megkérem Prévot-t, gyújtsa meg lámpáját, nehogy eltévedjek, s elindulok egyenesen előre, zseblámpámmal a kezemben.	Tôi bảo Prévot hãy bấm đèn của anh lên để làm tiêu mốc, rồi tôi cầm đèn của mình bước thẳng về phía trước mặt.
Megyek a sötétségben, a lámpa mozgó fényköre fölé hajolva.	Khi nãy, tôi cũng đã chờ ngọn lửa thiêu như vậy.
Leülök a fülke közelében, és gondolkodom.	Tôi lần lần quay lại phía phi cơ.
Okot kerestem a reményre, és nem találtam.	Tôi ngồi cạnh phòng máy và ngẫm nghĩ.
Az élet jelét kerestem, és az élet nem adott semmiféle jelet.	Tôi cố tìm một lý do để hi vọng và ngẫm nghĩ.
- Prévot, egy árva fűszálat sem láttam.	- Prévot, tôi không thấy một ngọn cỏ nào đây cả.
Prévot hallgat, nem tudom, megértette-e. Majd beszélünk róla, ha fölmegy a függöny: ha fölkel a nap.	Prévot nín lặng, tôi không biết anh đã hiểu ý tôi chưa.
Hirtelen talpra ugrom.	Bỗng vọt đứng lên:
- A víz!	- Nước!
Benzintartály, olajtartály, mind szétrepedt.	Bình chứa xăng, bình đựng dầu, thảy đều vỡ sạch.
Ha viszont keresztben tértünk el, hat hónap kell a megtalálásunkhoz.	Còn nếu chúng tôi rơi lệch ngả, thì sáu tháng sau mới có người tìm thấy.
A repülőgépekre nem számíthatunk: háromezer kilométer szélességben fognak keresni!	Không thể trông cậy vào những phi cơ: chúng sẽ tìm kiếm chúng tôi trên dặm đường ba nghìn cây số.
- Milyen kár!	- A!
- Micsoda?	- Vì sao?
- Olyan jó lett volna, ha egy csapásra befejezzük...	- Mình đáng lẽ đã được chết hay ho trong một nháy.
De nem szabad ilyen gyorsan lemondani.	Prévot và tôi trấn tĩnh lại tinh thần.
Összeszedjük magunkat.	Không thể tuyệt vô hy vọng.
Nem szabad föladni a légi úton való csodálatos megmenekülés reményét, bármilyen halovány is.	Có thể tình cờ may mắn, dù rất mỏng manh, được một phi cơ ngẫu nhiên như thần linh bất ngờ tới cứu.
Este visszatérünk a géphez.	Rồi quay trở lại bên phi cơ.
Összegömbölyödöm, aludni fogok hajnalig.	Vậy là tôi khoanh người nằm yên ngủ cho tới sáng.
Boldog vagyok, hogy elalszom.	Và tôi rất sung sướng mà ngủ.
Milyen más lett minden, amikor fölkelt a nap!	Sự việc không còn như vậy nữa, lúc trời sáng ra!
Nagyon szeretem a Szaharát.	Tôi đã từng yêu Sahara.
Nem egy éjszakát töltöttem leigázatlan vidéken.	Tôi đã từng sống nhiều đêm tại những vùng phiến loạn.
Föl-fölébredtem a szőke végtelenségben, ahol hullámokat vet a szél, mint a tengeren.	Tôi đã từng thức giấc giữa bãi rộng hồng vàng gió đùn lên đợt sóng như trên mặt trùng dương.
De azt nem lehetett összehasonlítani mostani helyzetünkkel.	Chúng tôi bước đi bên sườn hông những ngọn đồi cong mỏm.
A homokot csillogó fekete kavicsok takarója fedi.	Chúng tôi bị vây hãm trong một khung cảnh sắt.
Olyanok, mint az ércpikkely, és körülöttünk valamennyi dombkúp csillog, mint egy fegyverzet.	Vượt qua chóp đồi thứ nhất, thấy xa xôi một chóp khác tương tự, cũng lóng lánh đen sì.
És átmenetileg fölhagytam északkal is, pedig az irány a tengerhez vezet.	Và tạm thời cũng bỏ qua hướng Bắc, tuy hướng này đưa ra biển.
Három nap múlva, amikor félig önkívületben elhatározzuk, hogy végleg elhagyjuk gépünket, és megyünk egyenesen előre, míg össze nem roskadunk, megint csak keletnek indulunk majd, illetőleg pontosabban kelet-északkeletnek.	Ba ngày sau, giữa một cơn bàng hoàng mê sảng, khi chúng tôi quyết định từ giã hẳn chiếc phi cơ và bước thẳng tới phía trước cho tới lúc kiệt sức, chúng tôi cũng lại nhằm hướng Đông mà đi.
És amikor már megmenekültünk, látni fogjuk, hogy bármilyen más irányba mentünk volna, soha meg nem szabadulunk, még észak felé sem, mert végleg kimerültünk volna, mielőtt elérjük a tengert.	Và sau này, được giải cứu, chúng tôi mới nhận thấy rằng không một hướng nào khác có thể giúp chúng tôi thoát nạn trở về, bởi vì nếu theo hướng Bắc thì nửa đường kiệt lực, chúng tôi không làm sao đi cho tới biển.
Öt órai menetelés után a táj megváltozik.	Đi suốt năm giờ, thì phong cảnh thay đổi.
Erőltetett léptekkel megyünk, el kell jutnunk a lehető legmesszebbre, és ha nem jutunk eredményre, vissza kell érnünk, mielőtt beesteledik.	Chúng tôi dấn bước thật nhanh, chúng tôi cần đi gấp, đi xa được bao nhiêu hay bấy nhiêu và quay trở về trước lúc trời tối, nếu không tìm kiếm được gì.
- Prévot.	- Prévot.
- Tessék.	- Gì?
- A nyomok...	- Những dấu chân…
Mennyi ideje, hogy elfelejtettünk barázdát vonni magunk után?	Từ bao lâu chúng tôi đã quên không vạch đường làm dấu ở sau lưng?
Amikor majd megtaláljuk ezt a fonalat, visszatérünk.	Lúc đã tìm lại được mối dây nọ, chúng tôi tiếp tục đi.
De ezek még csak egyszerű káprázatok.	Thoạt tiên chỉ là những ảo ảnh lai rai thôi.
Nagy tavak képződnek, s eltűnnek, amint közeledünk feléjük.	Những hồ nước lớn hiện ra và biến mất, lúc chúng tôi vừa tới.
Elhatároztuk, hogy elhagyjuk a völgyet, és megmásszuk a legmagasabb kúpot; hogy megvizsgáljuk a látóhatárt.	Chúng tôi quyết định vượt ngang thung lũng cát, và leo lên chóp đồi cao nhất để quan sát chân trời.
Hat órája megyünk, legalább harminc kilométert megtettünk erőltetett menetben.	Chúng tôi đã lên tới chóp ngọn đồi đen thui nọ, lặng lẽ ngồi xuống.
Elérjük a fekete gúla tetejét, szótlanul leülünk.	Xa tít đằng kia là mù khơi trống rỗng.
Lábunk alatt a homokvölgy kő nélküli homoksivatagba torkollik; izzó fehér fénye égeti a szemet.	Nhưng tận chân trời, trò sõa lộng của ánh sáng tạo nên những ảo ảnh hãi hùng hơn.
