HOMÉROSZ	Homer
és kinyitotta a kényelmes terem ajtaja szárnyát,	Chót vót trên mái nhà Athena giơ khiên thần báo hiệu tai ương.
és indult be; s az apja elé bevezette az ifjú.	Đám cầu hôn khiếp đảm.
és gyapjat gyaratolni, viselni a szolgai sorsot;	Nhưng không thèm nghe họ cứ nhúng tay vào sai trái.
szégyenteljes tettre tizenketten vetemedtek,	Cư xử xấu xa đã dẫn họ tới số phận ghê tởm.
És Odüszeusz a fiát, az ökörpásztort, meg a kondást	Đầu lìa khỏi gáy, Leodes rú kêu, miệng vẫn lải nhải.
míg lelkük kiröpül, s Aphrodítét elfeledik már,	Đừng xua đuổi kẻ van xin, hãy thương hại bỉ nhân.
szörnyü jajongással, bőséges könnyeket ontva.	Bỉ nhân không có thày dạy, bỉ nhân tự học một mình.
ő maga, sürgetvén, hordták hát kényszerüségből. És azután a nagyonszép székeket és a sok asztalt	Là thi sĩ bỉ nhân có thể ca hát dâng người như dâng thần linh.
S Télemakhosz meg a csordás és a kanász kaparókkal	Vậy dù nóng giận xin đừng cắt cổ bỉ nhân.
Köztük a jóeszü Télemakhosz kezdett a beszédbe: "Hát tisztességes véggel vegyem én el a lelkük?	Nghe thấy thế Telemachos liền chạy tới đứng trước mặt vội nói với thân phụ: "Khoan!
nékik, kik szégyent zuditottak mind a fejemre	Đừng giết người vô tội, bố ơi.
egy magas oszlophoz, jól meghurkolta a kamrán,	Ngừng tay với cả Medon nữa!
S íme, Melantheuszt ajtón át pitvarba vezették:	Công tử tha mạng sống cho bỉ phu.
s szétzúzták a kezét-lábát, haragudva szivükben.	Odysseus mưu trí mỉm cười trấn an: "Đừng sợ.
HUSZONHARMADIK ÉNEK –	Thân phụ con gọi.
"Ébredj, Pénelopeia, leányom, lásd a szemeddel	Odysseus trông hệt thế, tay chân, lưng bụng vấy máu.
Válaszul így szólt most az okosszivü Pénelopeia:	Bộc lộ hân hoan trên xác chết là xử sự báng bổ, bất kính.
Télemakhosz rég tudta, hogy itt van; csakhogy az apja	"Đừng đánh thức vội," Odysseus ý nhị thốt lời.
Szólt; és Pénelopé megörült, szökkent le az ágyról,	Vú già rời đại sảnh đi gọi nữ tỳ thúc giục ra mau.
s ostoba vétkeikért megbűnhődtek.	Chân co giật một lúc, song không lâu.
mondani: csakhogy a torkomat elszoritotta kezével;	"Ờ, con," nhũ mẫu yêu quý đáp, "con nói chí phải.
"Kedves anyó, az örökkéélő égilakóknak	Nhũ mẫu mang lửa, lưu huỳnh.
szándékát nehezen lesed el, bármennyire bölcs vagy.	Odysseus dùng tẩy uế đại sảnh, ngôi nhà, khu sân cẩn thận.
hogy közelébe nem ülsz, s nem kérdezed őt szavaiddal?	Odysseus đã về, đang ở trong nhà sau bao nhiêu năm lưu lạc.
Ám ha valóban	Mau lên!
és a halandók közt ki se tud versengeni véled.	Nhưng thôi, đi xuống, về phòng!
"Hát majd elmondom, mit látok a leghelyesebbnek. Mosdjatok itt meg először is, aztán váltsatok inget,	Dẫu thế vú già vẫn tiếp lời: "Con yêu quý, già không lòng nào đùa bỡn lúc con buồn rầu.
és játékos táncdalokat pengetve, vezessen;	Odysseus là khách lạ bị hạ nhục trong đại sảnh.
Szerte a városban ne szaladjon híre a kérők	Penelope mừng khôn tả.
Így szóltak, de bizony nem tudták, hogy mi esett meg.	Nếu nhìn thấy con sẽ hả lòng hả dạ!
megfürdette a gazdasszony, megkente olajjal,	Odysseus vấy máu, lấm bẩn như sư tử!
szemre nagyobbá tette, erősebbé, s a fejére	Odysseus sai già đi vời con.
művész, kit tanitott Héphaisztosz s Pallasz Athéné	Mong ước ôm ấp bấy lâu bây giờ trở thành sự thật.
minden mesterségre, s ezért kezeműve nagyon szép,	Odysseus còn sống, Odysseus trở về, Odysseus ở nhà.
így öntötte a bájt vállára, fejére az úrnő.	Odysseus gặp con và quý tử.
S ő lépett ki a kádból, mint valamely magas isten. S honnan előbb fölkelt, le is ült ismét ama székre,	Odysseus trả thù bọn cầu hôn cư xử sai trái, phá hại của cải trong cung điện của mình."
ér haza, húsz év elteltével, az itthoni földre.	Dẫu thế làm sao tin nổi chuyện nhũ nương vừa nói?
s nem bámullak: jól tudom én, míly külsejü voltál,	Rồ dại xúc phạm vì thế chúng gánh chịu số phận ghê tởm.
Máshova, mondd, ki is állította az ágyam?	Nghi ngờ quá sức con chẳng tin ai.
Én eköré kívántam a hálótermem emelni,	Già lấy mạng mình bảo đảm.
díszítvén elefántcsonttal, meg arannyal-ezüsttel;	Con muốn nhìn lũ cầu hôn nằm chết và người hạ sát chúng."
attól borzadozott, hogy majd még eljön egy ember	Vì sao không ngồi gần chuyện trò, hỏi han?
hogy majd visszaviszik szeretett földjére honának.	Chắc hẳn trái tim trong lòng mẹ rắn hơn sỏi đá!"
és ki szilárd hálótermünkre azóta vigyázott,	Nghe nói thế Odysseus kiên nhẫn, độ lượng mỉm cười.
lelkének-kedves feleségét sírva karolta.	Mẹ sẽ nhìn bố ánh mắt khác hẳn.
S tán zokogók elibé jön a rózsásujjú Hajnal,	Đó là tình huống ta muốn con suy ngẫm."
hogyha ki nem gondol valamit nagy Pallasz Athéné:	"Bố yêu quý," Telemachos vẻ mặt ưu tư tiếp lời, "bố tự nghĩ xem sao.
fogni szekérbe se hagyta, a fényt hordó rohanókat,	Chúng con chỉ biết cúi đầu răm rắp noi theo.
Válaszul így szólt most az okosszivü Pénelopeia:	Tới đó ngô bối chờ xem Chúa tể quyết định nên làm cái gì."
"Ott van az ágy, meglesz, amikor csak a lelked akarja,	Tất cả răm rắp làm theo chỉ thị.
most, miután a nagy istenek azt tették, hogy elértél	Thanh niên đi tắm, thay quần áo, thiếu nữ trang điểm.
elmondjam?	Đàn bà nhẫn tâm!
örvendek: sok földi halandó városait kell	Họ nói thế, song không biết chuyện gì thực sự xảy ra.
s ételüket sem eszik megsózva a tengeri sóval:	Athena cũng trang điểm từ đầu tới chân.
istennek pedig áldozzak szép áldozatokkal,	"Phụ nhân kỳ lạ!" Odysseus thốt lời.
boldogan él.	Thôi được!
Válaszul így szólt most az okosszivü Pénelopeia:	Nhũ nương, sửa soạn giường con ngủ một mình.
"Hogyha az istenek aggkorodat váltják szelidebbé,	Vì hiền thê mang trong lòng trái tim sắt đá."
akkor erős a remény, hogy a sok bajból kimenekszel."	"Phu quân kỳ lạ," Penelope dáng vẻ thận trọng đáp lời.
tértek meg rendjéhez a hajdani hitvesi ágynak.	Penelope thử lòng phu quân như thế.
és maguk is lefeküdtek az árnyas termek ölében.	Ai di chuyển chiếc giường đi chỗ khác?
S ő elmondta, amit tűrt otthon, az isteni asszony,	Không ai dù khỏe đến đâu có thể nhấc nổi mang đi.
szerzett másoknak, s maga mit tűrt, mennyi siralmat,	Xung quanh dùng đá xếp chặt ta xây căn phòng.
és hogy a Küklópsz mit mívelt, s hogyan állta a bosszút	Dùng rìu ta đẽo vuông, gọt nhẵn, bào đúng đường mực làm chân.
és a halas tengerre sodorta a nyögve kesergőt;	Bí mật công trình là vậy.
majd meg a phaiákokhoz a sok baj után hogyan ért el,	Lời nói khuấy động tâm linh Odysseus muốn ứa lệ.
Szólt, azután szép fegyvereit vállára csatolta,	Phần riêng tiện thiếp muốn biết.
fölkeltette fiát, a gulyást, és vélük a kondást,	Nếu tiện thiếp biết bây giờ, thưa có tai hại gì đâu?"
éjbe takarva a városból sebesen kivezette.	Ông cho ta hay dấu hiệu hết sức rõ ràng.
Ekkor a kérők lelkét Külléné-hegyi Hermész	Ta sẽ cho hiền thê biết, không giấu giếm.
"Boldog Péleusz-sarj, istennek mása, Akhilleusz,	Lúc này Pallas Athena mắt xanh lam lục lại dự tính.
Szólt; s már nem riadoztak a bátorlelkü akhájok.	Tuân lệnh tức thì tất cả trang bị giáp y lát đồng.
És körülötted a tengeri agg szép lányai álltak,	Mở cửa đi ra tất cả bước theo Odysseus dẫn đầu.
mind a gyalog s a lovag: s iszonyú hadilárma rivalgott.	Hermes thần linh nhân từ dẫn xuống lối đi ẩm ướt, tối om.
díszes díjat adott: kedveltek erősen az égben.	Ngô bối giao chiến suốt ngày.
Holtod után sem enyészett el neved így, de örökké	Ngô bối không ngừng nếu Chúa tể không nổi bão ngăn chặn.
Hisz hazatértemkor Zeusz gyászos végemet adta,	Đồng đội Danaan xúm quanh nhỏ lệ, cắt tóc thương tiếc.
ráismert sarjára, a hírneves Amphimedónra:	Binh sĩ Achaian đứng lại!
mert őt ez vendégül látta a szép Ithakában.	Thân mẫu Achilleus đó!
hogy jőjjön mivelünk Trójába a jópadu gályán? S teljes hónap után szeltük csak a tág vizet által,	Mặc y phục thần linh, tẩm dầu thơm ngát, thoa mật ong dịu ngọt, tướng quân theo lửa ra đi.
S őt kondása vezette az úton, csúnya ruhában,	Nói ta hay vì ta và ngươi là chỗ quen biết.
tűrő lélekkel, hogy sértjük s meghajigáljuk:	Odysseus vắng nhà khá lâu, ngô bối tìm cách ve vãn vợ đương sự.
És amidőn a nagy íj Odüszeusz markába került már,	Như vậy công lao đưa thoi đạp cò không phí phạm hay vô ích.
s könnyen fölhúrozta az íjat, a sok vason átlőtt; majd odaállt a küszöbre, kiszórta a gyors nyilakat mind,	Từ đó ban ngày đạp cửi nàng dệt tấm vải, ban đêm đốt đuốc bên cạnh nàng tháo gỡ chỉ ra.
zordul nézve körül, s hős Antinooszt lenyilazta.	Ba năm liền nàng dùng mưu kế đánh lừa bọn cầu hôn cả tin.
Mennyire jólelkű a hibátlan Pénelopeia,	Đương sự đi sau.
Íkariosz lánysarja: urát, Odüszeuszt, az eszében	Nô bộc chăn heo đưa quần áo rách bươm cho mặc.
törvényes férjét ki megölte: belőle riasztó	Ngô bối giễu cợt, thóa mạ, lấy đồ ném đuổi đi.
ezt egykor maga Láertész hadakozva szerezte.	Để thử tài đồng thời hạ sát ngô bối.
Ott volt háza, a ház körül álltak az épületek mind,	Cung nặng, dây căng không ai trong ngô bối kéo nổi!
rabszolgái tanyáztak, háltak s ettek ezekben,	Tất cả đều quá yếu không đủ sức.
Ők sebesen besiettek a házba; azonban Odüsszeusz	Rõ ràng có thần linh trợ giúp đương sự và mấy tên bên cạnh.
szabva ökörbőrből, tövisek szúrásai ellen,	"Chiến hữu là người may mắn có hiền thê đoan trang!
Hát mikor őt meglátta az isteni bajnok Odüsszeusz,	Phu nhân kiên trì gìn giữ hình bóng phu quân hôn phối!
tenmagadat nem gondozod ennyire: terhes öregség	Dứt lời Odysseus đưa vũ khí cho nô bộc.
vagy pedig elhúnyt és Hádész házába került már.	Nghĩ vậy Odysseus bước tới.
Megmondom, te jegyezd meg, hallgass jól a szavamra:	Laertes vẫn cúi đào quanh gốc cây.
adtam még egyrétü tizenkét drága köpenyt is	Lão công làm nông nô trông nom khu vườn cho ai?
sem tudhatta urát kiterítve siratni, ahogy kell,	Tiện phu để người bạn tự ý lựa chọn."
"Megmondom neked én mindezt, őszinte beszéddel.	Nhưng thôi, làm ơn cho hay đích xác quý khách tiếp đón người bạn bao lâu rồi?
noha jobbról szálltak a jósmadarak föl,	Thành phố nào, song thân ra sao?
épp mikor indult, s így nagy örömmel küldtem az útra;	Thuyền vững chắc, tay chèo tài giỏi chở tới đây đậu chỗ nào?
ő is örült, s mindkettőnk lelke remélte, hogy egymást	Hay quý khách quá giang thuyền người?
vendégeljük még, ragyogó szép kincseket adva."	Quý khách lên bờ, họ dong buồm ra khơi?"
érzés nőtt, mikor így szeretett apjára tekintett. Hát odaugrott, megcsókolta, nyakába borult s szólt:	Ra đi từ Sikania, thần linh đưa đẩy, dù chẳng muốn, tiện phu lạc hướng trôi dạt tới đây.
"Édesapám, hiszen én vagyok az, ki után tudakolgatsz:	Thuyền đậu không xa, song xa đồng quê, xa thành phố.
"Hogyha valóban Odüsszeusz vagy te, az én fiam, így jössz,	Vừa nghe nói thế Laertes sa sầm nét mặt, đau khổ tột cùng.
mert oda küldtél el s veled édesanyám is, az úrnő,	Thôi đừng khóc, đừng than, đừng thổn thức nữa.
Autolükoszhoz, az ő szeretett apjához, azért, hogy	Con nói bố hay, và cần làm gấp không chậm trễ.
Szólt; mire annak a térde s a kedves szíve elernyedt, mert, mikről Odüszeusz szólt, ráismert a jelekre.	Lúc đó con còn nhỏ, theo bố lẩn quẩn giữa hàng cây ăn trái, hỏi hết cây này đến cây kia.
ott lelték már Télemakhoszt, a gulyást meg a kondást,	Thay vì thế theo con qua vườn cây ăn trái về nhà nông trại.
Így lépett ki a kádbóĺ, és szeretett fia bámult,	Lão công vui vẻ bước vào.
Ők egymással ilyen szavakat hallatva beszéltek;	Trong khi bố con trò chuyện, nô bộc chuẩn bị xong xuôi bữa ăn.
mézédes szókkal fordult hozzájuk eképen:	Tất cả ngừng ngỡ ngàng!
sokszor is üdvözlégy, boldogság érjen az égből.	Nhưng xin cho nô bộc hay vì lòng dạ bồn chồn muốn rõ.
S áruld el nekem őszintén, hadd tudjam egészen, biztos hírt tud-e rólad a jóeszü Pénelopeia,	Penelope kín đáo, tiết hạnh đã biết quý nhân vê chưa, nếu không ngô bối cấp báo?"
hogy hazaérkeztél, vagy küldjünk hírnököt arra."	"Nương nương biết rồi, lão bộc," Odysseus mưu trí đáp.
Válaszul erre eképen szólt leleményes Odüsszeusz:	"Lão bộc chẳng cần thắc mắc!" Dolios quay lại ghế bóng lộn.
És Doliosz fia mind ugyanígy Odüszeusz köribé gyűlt,	Sau đó tất cả ngồi xuống ghế gần thân phụ.
majd odaült mind rendben az apjához, Dolioszhoz.	Mọi người dùng bữa trong nhà nông trại.
mind a halászokkal, föltéve a fürge hajókra;	Buồn rười rượi họ bảo nhau kéo tới quảng trường.
"Kedvesek, ím az akhájoknak vétett ez az ember	Mất thuyền nó mất cả đồng đội!
szörnyen: először sok jó harcost vitt el a bárkán	Trở về nó lại giết thanh niên xuất sắc hải đảo Kephallenia.
vagy pedig isteni Élisz alá, hol epeioszi nép él;	Ngô bối phải ra tay kẻo nhục nhã suốt đời.
"Hallgassátok a szóm, Ithaké-beliek: hisz Odüsszeusz	Vừa thức dậy rời ngay cung điện hai người đến hội trường.
ezt nem az isteni óhajtás ellen cselekedte:	Mọi người nom thấy đều ngạc nhiên.
Rosszak voltatok, édeseim, mindez csak azért lett:	Nghe nói thế tất cả xanh mặt khiếp đảm.
annak a legjobb hősnek; s hitték, hogy haza nem tér.	Xin lắng nghe lão hủ có đôi lời muốn nói.
nem tetszett szívüknek a szó, hanem Eupeithészre	Bởi thế dù gì bây giờ hãy nghe lão hủ.
hallgattak: s aztán hadifegyverekért szaladoztak.	Đừng dại dột giở trò kéo nhau tấn công.
tágastáncterü város előtt gyűltek, seregeltek.	Làm vậy quý hữu mang họa vào thân!"
És Eupeithész volt a vezérük: hitte a balga,	Lão nhân dứt lời.
mondd meg a kérdésemre: mit is rejt bévül az elméd?	Eupeithes hùng hổ, hung hãn dẫn đầu.
rajtuk majd Odüszeusz hazatérve megállja a bosszút?	Xin trả lời và cho thần nhi hay Cha nghĩ gì trong bụng?
kössön mind békét, s legyen ő a király ezután is,	Hay Cha muốn tái lập hòa bình giữa hai phe thù địch?"
s útnakeredt ez, olümposzi csúcsrol alászökkenve.	Cứ làm như thần nhi dự định, song đây là ý kiến của ta.
őszhajuak bár, kényszerüségből harci vitézek;	Mau lên!" Nghe thấy thế tất cả đứng phắt dậy cầm vũ khí.
S jött közelükbe egészen a nagy Zeusz lánya, Athéné,	Choàng giáp y lát đồng óng ánh tất cả mở cổng đi ra.
férfitusában megválik, kik a legderekabbak,	Nom thấy nữ thần, Odysseus vui khôn tả.
nem hozok én rátok szégyent, emiatt ne is aggódj."	Chợt nghe mừng rỡ Laertes la to: "Ô thần linh yêu quý!
Szólt; mire Láertész megörült, ezt mondta azonnal:	Ngày tươi đẹp lão hủ sung sướng làm sao!
"Míly nap ez, áldó isteneim!	Con, cháu thi đua dũng cảm!"
S tán valamennyien elhullnak s haza nem kerül egy sem,	Nghe tiếng hét tất cả biến đổi sắc mặt.
