HENRYK SIENKIEWICZ	Henryk Sienkiewicz
Önkéntelenül könnyek tolultak szemébe, s ha nem nézte volna, hogy egy "félelmetes vitéznek" semmi körülmények között sem szabad sírnia, bizonyosan sírva fakadt volna.	Mặc dù không muốn, lệ vẫn ứa ra mắt và giá như không có chuyện dù thế nào đi nữa, vị "chiến sĩ dữ tợn" này cũng không được khóc - hẳn em đã khóc òa lên rồi.
Erőt vett hát magán, és a kislányhoz fordulva megkérdezte:	Song em cố nén và hỏi lại cô bé:
- Nel, te félsz?...	- Em sợ ư, Nen?...
- Valahogy... olyan... rémes... - felelte a kislány halkan.	Cô bé khẽ đáp: - Cứ... sờ sợ thế nào ấy.
Staś elhozatta Kalival a takarókat a nyergek alól, aztán az egyikkel letakarta a követ, melyen az imént bóbiskolt, a másikat a földre terítette, és így szólt:	Xtas bèn bảo Cali mang tấm nệm dưới yên lại, dùng một tấm phủ lên tảng đá lúc nãy em ngồi ngủ gật, chiếc thứ hai trải xuống đất và nói:
- Ülj ide mellém a tűzhöz... Ugye, milyen hűvös az éjszaka?	- Ngồi xuống đây cạnh anh bên đống lửa... Đêm lạnh quá phải không em?
Ha elfog az álom, fejedet vállamra hajtod, s alszol.	Nếu em buồn ngủ thì tựa đầu vào anh mà ngủ.
Nel pedig megismételte:	Song Nen vẫn nhắc lại:
- Valahogy... olyan... rémes...	- Cứ sờ sợ thế nào ấy...
Staś gondosan betakarta, aztán szótlanul ültek egymáshoz támaszkodva a tűz rózsás fényében, mely végigkúszott a szirteken, s meg-megcsillant a kőtöréseket tarkító macskaezüstön.	Xtas cẩn thận dùng tấm chăn bọc lấy người cô bé, và một hồi lâu chúng cứ ngồi lặng đi như thế, tựa vào nhau, được ánh lửa hồng chiếu sáng, ánh lửa chập chờn trên các tảng đá và nhóng nhánh phản chiếu từ những mảnh mica trên các hòn đá.
- Ide figyelj, Nel - szólalt meg Staś.	- Nghe anh đây, Nen... - Xtas cất tiếng.
Hallottad?...	Em có nghe không?...
Gondold el, nemcsak engem fenyegetett, hanem téged is.	Em hãy biết là hắn không những chỉ đe dọa riêng anh, mà cả em nữa.
És meg is tette volna!	Và hắn sẵn sàng làm chuyện đó.
Igazán mondom, ha nem fenyegetett volna, bár már régen gondolkoztam ezen, nem lőttem volna rájuk.	Nói thật với em, nếu như không có lời đe dọa đó, thì dù đã từ lâu anh hằng nghĩ tới chuyện này, anh cũng sẽ không bắn chúng nó đâu.
Azt hiszem, nem bírtam volna... De ő túlfeszítette a húrt.	Anh nghĩ là mình không thể... Nhưng hắn đã vượt quá mức rồi!
Láttad, milyen kegyetlenül kínozta szegény Kalit?	Em thấy trước đó hắn hành hạ Cali tới mức nào rồi chứ?
Hát Khamisz?	Còn Khamix?
Milyen aljas módon elárult minket!	Hắn bán đứng chúng mình mới đểu giả làm sao!
S különben is, tudod mi történt volna, ha nem találják meg Smaint?	Thêm nữa, em có biết nếu như không tìm thấy Xmainơ thì chúng nó sẽ làm gì không?
Gebhr éppen úgy kezdett volna kínozni minket is, téged is.	Ghebơrơ sẽ hành hạ chúng ta, hành hạ em hệt như đối với Cali thôi.
Elgondolni is szörnyű volt, hogy korbáccsal ver téged, és miután mindkettőnket agyon­kínzott, halálunk után szépen visszatér Fazodába, mondván, hogy váltólázban haltunk meg útközben... Nel, én nem kegyetlenségből tettem ezt, hanem azon kellett gondolkoznom, hogyan mentselek meg... Csak rád gondoltam, Nel...	Thật kinh khủng khi nghĩ rằng hắn sẽ dùng roi ngựa đánh em, hắn sẽ giày vò cả hai đứa mình, rồi sau khi chúng mình chết, hắn sẽ quay về Phasôđa mà nói rằng chúng mình bị chết vì sốt rét... Nen, không phải anh làm như thế vì tàn bạo đâu, nhưng anh phải nghĩ cách cứu em... Anh chỉ nghĩ đến em mà thôi...
S hangjából nyíltan kicsengett a szívét eltöltő megindultság.	Trong giọng nói của Xtas lộ rõ sự tủi thân đang tràn ngập lòng em.
Úgy látszik, Nel megértette, mert közelebb simult hozzá, ő pedig legyőzte pillanatnyi ellágyulását, s így folytatta:	Nen cảm nhận được điều đó, cô bé nép sát vào người em, còn em, sau khi nén nỗi xúc động, bèn nói tiếp:
- Én nem változom meg, s tovább is úgy vigyázok rád, mint eddig.	- Anh nào có thay đổi gì đâu, anh sẽ chăm lo và bảo vệ em như trước kia thôi; khi chúng nó còn sống thì chúng mình không có một chút hi vọng nào thoát thân.
Csak egészséges maradj, akkor sikerül is, mert Abesszínia nincs nagyon messze.	Chỉ cần em khỏe mạnh thì chắc chắn chúng mình sẽ làm được chuyện đó, vì từ đây tới Abixinia không bao xa.
De ha nem sikerülne is, ha Smain kezébe kerülnénk is, ne gondold, hogy ő bosszút áll rajtunk.	Thậm chí, nếu như chúng mình không thành công đi nữa, dù cho chúng mình có rơi vào tay Xmainơ, thì em cũng đừng sợ là hắn sẽ trả thù chúng mình.
Ő soha életében nem látta sem Gebhrt, sem a beduinokat, csak Khamiszt ismerte, de törődik is ő Khamisszal.	Trong đời hắn chưa bao giờ được gặp Ghebơrơ cũng như bọn Bêđuin ấy cả, hắn chỉ biết có mỗi mình Khamix nhưng Khamix đối với hắn có là gì đâu!
De hát nem is kell megmondanunk Smainnak, hogy Khamisz is velünk volt.	Chúng mình cũng không cần phải nói với Xmainơ là Khamix đi cùng với chúng mình làm gì.
Ha sikerül átszöknünk Abesszíniába, akkor megmenekültünk, ha meg nem sikerül, akkor sem lesz rosszabb dolgod, mint eddig, hanem jobb, mert olyan kegyetlen emberek, mint ezek voltak, talán nincsenek is a világon... Ne félj tőlem, Nel!	Nếu như chúng mình tới được Abixinia thì chúng mình sẽ thoát, mà dù không thoát đi nữa, thì ít nhất em cũng sẽ không bị khổ hơn, chỉ sướng hơn thôi, so với vừa rồi, vì trên thế giới có lẽ không có ai ác hơn bọnchúng... Đừng sợ anh nhé, Nen!...
Azzal megsimogatta a kislány szőke fejecskéjét, hogy újra felkeltse bizalmát, és reményt öntsön szívébe.	Và muốn cô bé thêm tin tưởng, đồng thời cũng muốn cổ vũ thêm, em bắt đầu vuốt tóc cô bé.
Látszott, hogy szeretne valamit mondani, de vonakodik, habozik - és fél.	Rõ ràng cô bé muốn nói gì đấy, nhưng cô chần chừ, do dự và lo sợ.
Végre lehajtotta fejecskéjét, úgy hogy fürtjei egész arcát eltakarták, aztán még halkabban, kissé remegő hangon kérdezte:	Mãi sau, cúi thật thấp mái đầu, khiế n tóc xõa che mất hoàn toàn khuôn mặt, cô bé mới hỏi bằng giọng còn khẽ hơn lúc trước và hơi run run:
- Staś...	- Anh Xtas...
- Tessék, drágám?...	- Sao hả em?
- Nem jönnek ide vissza?...	- Bọn họ có tới đây không?...
- Kik?	- Ai kia?
- kérdezte Staś csodálkozva.	- Xtas ngạc nhiên hỏi lại.
- Azok... a... halottak?	- Bọn kia... Những người bị giết ấy.
- Mit beszélsz, Nel?...	- Em nói gì thế, Nen?
- Félek!	- Em sợ, em sợ lắm!...
Csend lett.	Im lặng.
- Mit beszélsz, Nel?...	- Em nói gì thế, Nen?
- ismételte.	- Cậu nhắc lại.
- Talán Dinah tanított meg arra, hogy a szellemektől félj... A halottak nem...	- Đấy hẳn là bà Đina dạy em sợ ma... Những người chết không...
De nem fejezte be, mert e pillanatban valami borzalmas dolog történt.	Em không kịp nói hết câu, vì chính vào giây phút ấy diễn ra một chuyện thật rùng rợn.
Az éjszaka csendjében, ott, ahol a hullák feküdtek, ijesztő kacagás hangzott fel, valami nem emberi, irtózatos nevetés, tele kétségbeeséssel, örömmel, borzalommal, fájdalommal, sóhajjal és gúnnyal, fülhasogató, görcsös nevetés, mint a tébolyultak vagy az elkárhozottak kacagása.	Giữa đêm trường tĩnh mịch, trong cái thẳm sâu của khe núi, từ phía những cái xác đang nằm, chợt vang lên một tiếng cười kinh rợn, không phải của con người, trong tiếng cười đó rung lên cả nỗi tuyệt vọng lẫn niềm sung sướng, cả sự tàn nhẫn, cả nỗi đớn đau, cả tiếng nức nở và sự giễu cợt, tiếng cười chói tai và bệnh hoạn của những người điên khùng và mất trí.
Sába felugrott, és morogni kezdett.	Con chó Xaba bật dậy sủa vang.
A kissé távolabb ülő Kali azonban nyugodtan emelte fel fejét, s szinte vidáman jelentette ki:	Song cậu bé Cali ngồi cách đấy không xa vẫn bình thản ngẩng đầu lên và nói gần như vui vẻ:
- Hiénák nevetni Gebhren és oroszlánon...	- Đó là linh cẩu đang cười giễu Ghebơrơ và sư tử đấy.
XXIII.	Chương 23:
Miközben kis pajtására várakozott, meghagyta Kalinak, hogy gondoskodjék a reggeliről, mely tekintettel a késői időre, egyszersmind ebéd is legyen.	Ánh sáng chói lọi ban ngày xua tan những nỗi hãi hùng của đêm, cả hai tỉnh dậy không những chỉ được nghỉ ngơi mà còn được củng cố tinh thần.
A nappali világosság elriasztotta az éjszaka rémeit, úgyhogy mindketten nemcsak pihenten ébredtek, hanem lelkük is megtelt új erővel.	Nen trông khá hơn và cảm thấ y người khỏe hơn, và vì cả hai đều muốn đi càng xa chỗ bọn Xuđan bị bắn chết càng tốt, nên ngay sau khi ăn, cả bọn lên ngựa tiến về phía trước.
Nel jobb színben volt, jobban is érezte magát, mivel pedig mindketten igyekeztek minél messzebb kerülni a megölt szudániak hulláitól, evés után tüstént lóra ültek, és útnak eredtek.	Vào giờ này, tất cả những người bộ hành trên đất Phi châu đều dừng lại nghỉ trưa, thậm chí cả những đoàn chỉ gồm toàn người da đen cũng phải nấp dưới bóng các cây to, vì đó là những "giờ trắng" - tức là giờ nóng bức và im ắng - như người ta thường gọi.
A napnak ebben a szakában az afrikai utazók rendszerint déli pihenőjüket tartják, sőt a néger karavánok is behúzódnak a nagyobb fák árnyékába a nap dühe elől, mert ilyenkor oly irgal­matlanul perzsel, mintha csak azt keresné a magasból, hogy hol van valaki, akit megölhetne.	Trong những giờ đó, mặt trời thiêu đốt không thương tiếc, và từ trời cao chòng chọc dòm xuống, dường như xoi mói tìm người để giết vậy.
A vadállatok bebújnak a legsűrűbb bozótba, a madarak elhallgatnak, elül a rovarok zümmö­gése, az egész természet megnémul, meglapul, mintha a gonosz istenség szeme elől akarna elbújni.	Mọi loài thú đều lẩn vào những bụi cây lớn nhất, tiếng chim hót ngừng hẳn, tiếng côn trùng nỉ non cũng vắng bặt, toàn thể thiên nhiên chìm trong im lặng nín hơi lại, dường như muốn ẩn náu thật kín trước cặp mắt của lão trời già dữ tợn.
Ők azonban mély szurdékútban jártak, melynek egyik partja sötét árnyékot vetett, s így bátran folytathatták útjukat, a nap perzselő heve nem árthatott nekik.	Còn bọn trẻ thì vẫn đi theo khe núi, trong đó, một vách đã ngả bóng mát che kín, nên chúng có thể đi như thế lên phía trước mà không bị cháy nắng.
Staś nem akarta elhagyni a szakadékot, először azért, mert fent a távolból is könnyen észrevehettek volna őket Smain csapatai, másodszor pedig, mert itt könnyebben találhattak vizet a sziklaüregekben, míg fent a sík földön az esőt egykettőre beszívta a homok, vagy elpárolgott a nap hevétől.	Xtas không muốn rời khe núi dễ tìm thấy nước uống tại các hõm đá lớn, còn ở những nơi lộ thiên, nước bị ngấm vào đất, hoặc bị ánh nắng mặt trời biến thành hơi.
Az út, ha nagyon lankásan is, de folyvást felfelé vezetett.	Con đường liên tục dẫn lên cao - mặc dù không nhiều lắm.
A sziklafalakon helyenként sárgás kénerek látszottak.	Trên vách đá ở nhiều chỗ, có thể trông thấy những vệt lưu huỳnh màu vàng.
A víz is mindenütt át volt itatva a kén szagával, ami a gyermekekben Omdurman és a mahdisták kellemetlen emlékét elevenítette fel, akik kénporos zsírral kenték fejüket.	Nước trong cá c khe đá cũng nhiễm mùi lưu huỳnh, khiến hai trẻ nhớ lại Omđuaman với các tin đồ của Mahơđi dùng mỡ trộn với lưu huỳnh để bôi lên đầu.
Másutt a pézsmamacskák szagát érezték, ott pedig, ahol a magas sziklafalak bozótjaiból a szakadék aljáig iszalag gyönyörű zuhatagjai függtek, a vanília bódító illata terjengett.	Ngược lạ i, tại một số chỗ khác lại thoảng mùi mèo xạ, còn những nơi dây leo nhiều tầng rủ xuống từ các rạn đá cao lạ i ngào ngạt mùi hương vani thơm ngát.
Kis vándoraink szívesen tartottak pihenőt az ilyen illatos függönyök árnyékában, melyeknek bíborszínű és lila virágokkal dúsan hímzett lombja pompás táplálékul szolgált a lovaknak.	Các vị khách bộ hành tí hon rất sẵn lòng dừng chân trong bóng mát của những bức rèm che điểm hoa đỏ thắm và hồng lam ấy; cùng với các loại lá cây, chúng cung cấp thức ăn cho ngựa.
Állatokat nem lehetett látni, csak itt-ott a magasabb sziklapárkányokon guggoltak majmok, s az égbolt alkotta háttér előtt az indiai szentélyek párkányát díszítő furcsa bálványok szobrocskáira emlékeztettek.	Không thấy bóng dáng một loài vật nào, chỉ thỉnh thoảng, trên các đỉnh đá mới có những con khỉ ngồi chồm chỗm, trên nền trời trông chúng giống như những vị thần linh ngoại đạo huyềnthoại mà ở Ấn Độ người ta thường trang trí riềm của các thánh đường.
A nagy, sörényes hímek fogukat csikorgatták Sábára, szájukat csodálkozásuk és haragjuk jeléül összecsücsörítették, sűrűn pislogtak, s oldalukat vakarták.	Những con đực, đầu bù xù những lông, nhe răng ra với Xaba hoặc chúm môi lại thành hình tròn vo biểu lộ sự kinh ngạc và tức giận đồng thời nhảy nhó t không yên, vừa hấp háy mắt vừa gãi sườn.
De Sába megszokta már őket, és nem sokat törődött fenyegetéseikkel.	Còn Xaba, đã quá quen với hình bóng thường xuyên của chúng, hoàn toàn chẳng thèm để ý tới những điều đe dọa ấy.
Gyorsan haladtak előre.	Bọn trẻ đi hăng hái.
A visszanyert szabadság öröme elűzte Staś szívéből a lidércnyomást, mely az éjjel annyira gyötörte.	Niềm vui giành lại được tự do trút khỏi lồng ngực Xtas cơn ác mộng thường vẫn khiến em nghẹt thở đêm đêm.
