A nap lenyugodni készült a nyugati láthatáron kirajzolódó dombok mögött.	Mặt trời sắp lặn đằng sau những quả đồi phía tây.
Kelet felől sűrű, ólomszín fellegek gyülekez­tek.	Từng đám mây lớn, đen đùn lên ở chân trời phía đông.
A szél ereje annál nagyobb lett, minél inkább a nyílt tenger felől fújt.	Sức gió càng mạnh hơn khi nó thổi từ ngoài khơi vào bờ.
Ezt jósolta a víz és az ég színe, ezt jósolták az egyre gyorsabban rohanó, feltorlódó felhők, a hullámok és áramlatok örvénylő összecsapása, a szirtekre zúduló víz bőgése.	Người ta thấy rõ điều này qua màu sắc của trời, của biển, qua những đám mây cuồn cuộn đuổi nhau trên bầu trời qua tiếng sóng vỡ ra ầm ầm trên ghềnh đá.
- Hajó!	- Một con tàu!
A vihar ekkor már rendkívüli erővel tombolt.	Cơn giông tố đang bùng lên mạnh mẽ.
Ha nem találnak "egérútra", ahogy a tengerészek mondani szokták, vagyis ha szélirányban szárazföld állja útjukat, akkor ritkán kerülik el a hajótörést.	Nó không biết rằng đằng trước mặt nó, chỉ cách vài hải lý thôi là một bờ biển lởm chởm đá ngầm.
- S ezek a nyomorultak nem gyújtanak lámpát a toronyban!	Gió sẽ thổi tàu vào bờ đá và nó sẽ vỡ tan thành nhiều mảnh!
- dühöngött Vásquez.	Quả đúng vậy!
Igen, szerencsétlenségtől kellett tartani, melyet Kongre és társai idéztek elő.	Một thảm kịch sắp xảy ra và những kẻ gây ra chính là Kongre và đồng bọn.
A toronyból bizonyára már észrevették a hajót, amely alig volt irányítható, kiszolgáltatva a szél kénye-kedvének a háborgó tengeren.	Chắc chắn là từ trên tháp đèn, bọn cướp đã nhận thấy con tàu đang mất phương hướng và đang tìm đường để tránh bão.
Biztosra lehetett venni, hogy mivel a kapitány nem tájékozód­ha­tott a nyugati irányban hiába keresett torony jelzőfénye szerint, nem sikerül majd túljutnia a San Juan-fokon, ha a szorosba igyekszik, de a Several-földnyelven sem, ha dél felől akarná megkerülni a szigetet!	Rõ ràng là do không thấy được ánh sáng của cây hải đăng nên thuyền trưởng tàu ấy đã lạc hướng, không thể cho tàu vượt qua mũi San Juan để băng qua eo biển, ông ta cũng không thấy mỏm Several để đi sang phía nam của đảo!
Az éjszaka keservesnek ígérkezett, sőt az éjszaka után a más­napi nap is, mivel nem tűnt valószínűnek, hogy az orkán huszonnégy órán belül elcsendesül.	Đêm nay hứa hẹn bão sẽ khủng khiếp hơn và tiếp sang ngày hôm sau nữa, bởi vì chắc chắn là bão sẽ còn kéo dài ít ra là hai mươi bốn giờ nữa.
Vásquez nem is gondolt arra, hogy visszatérjen rejtekhelyére, s szemét nem vette le a láthatár­ról.	Vasquez không còn nghĩ gì đến chuyện quay về nơi trú ẩn nữa, mắt anh vẫn luôn nhìn về phía chân trời.
Ha a hajót nem is láthatta, a szuroksötét éjszakában, a fényei időnként felbukkantak, amint a hullámok összevissza dobálták.	Nếu trong bóng đêm không còn thấy con tàu nữa nhưng đôi lúc anh vẫn nhận ra các ngọn đèn hiệu của tàu đang tròng trành trên sóng dữ.
Mivel Vásquez csak zöld és vörös fényt látott, a hajónak vitorlásnak kellett lennie; egy gőzösön az orrárboc előkötelére erősített fehér fény is látszott volna.	Do Vasquez chỉ nhìn thấy những đèn báo xanh hay đỏ nên chỉ có thể đoán là con tàu này là một chiếc thuyền buồm, nếu là tàu hơi nước đèn hiệu trắng sẽ được treo trên buồm mũi.
A hajó nem rendelkezett tehát gőzgéppel, melynek segítségével szembeszállhatott volna a széllel.	Như vậy là tàu đã không có máy móc nào cả để có thể chống đỡ với gió bão.
Vásquez fel s alá járkált a parton kétségbeesett tehetetlenségében, hogy nem tudja megaka­dályozni ezt a hajótörést.	Vasquez đi đi lại lại trên bờ đá, cảm thấy bất lực vì không sao ngăn được tai họa.
A világítótorony fénye ezen az éjszakán sem fog kigyulladni, ahogy az előző éjjeleken sem, immár két hónapja; a hajó tehát arra ítéltetett, hogy mindenestül odavesszen a San Juan-fok szikláin.	Cây đèn đêm nay đã không được thắp sáng, cũng như những đêm sắp tới trong hai tháng nữa, và như vậy định mệnh đã sắp đặt, con tàu sắp mất từ người đến của cải trên bãi đá của mũi San Juan này.
Ekkor Vásqueznek támadt egy ötlete.	Một ý nghĩ chợt đến với Vasquez.
A fövenyen volt fa: partra vetett roncsok, hajótestek maradványai.	Trên bờ đá có rất nhiều gỗ là những mảnh tàu đắm trôi dạt.
S hátha észreveszik a tüzet a parttól alig egy mérföldre lévő hajón, s talán még kivédhetnék az ütközést?...	Gió sẽ làm bùng lửa lên ngay thôi... nhưng như thế thì trên tháp đèn bọn cướp có thấy...?
Összeszedett egy öl fát, és a fok végében halmozta fel.	Vasquez bắt tay ngay vào việc thực hiện ý nghĩ đó.
De elkésett... Hatalmas tömeg bukkant elő a sötétségből.	Đã quá muộn... Một khối to lớn đen sẫm chợt hiện ra giữa đêm tối.
Dermesztő recsegés hallatszott, majd néhány hamar elhaló segélykiáltás... Aztán már csak a szél süvítését és a partot ostromló tenger süvöltését lehetett hallani.	Một tiếng đổ vỡ khủng khiếp vang lên rồi một vài tiếng kêu tuyệt vọng nhanh chóng chìm đi trong gió bão... Sau đó người ta chỉ còn nghe tiếng gió rít, tiếng sóng biển vỡ ra trên bờ đá.
A hajótörés után	SAU LÚC TÀU ĐẮM
Amerre a szem ellátott, a tenger teljesen fehérnek tűnt.	Mặt biển hiện ra trắng xóa cho đến tận chân trời xa tít.
A fok csúcsánál a tajtékzó hullámok tizenöt-húsz lábra csaptak fel, s a szél szertehordta permetüket a sziklafal fölött.	Ở đầu mũi đá, sóng biển sủi bọt lên cao tới hơn sáu mét và đám bụi nước, bị gió cuốn lên cao mãi tới thành vách đá.
A még mindig borús égbolt arra engedett következtetni, hogy az orkán még néhány napig eltart, ami a Magellán-szigeteken nem meglepő.	Bầu trời vẫn còn u ám đe dọa, có thể thấy là trận bão này sẽ còn kéo dài thêm vài ngày nữa và điều này cũng chẳng lạ gì ở vùng biển Magellan này.
Semmi kétség nem lehetett affelől, hogy ezen a reggelen a kétárbocos nem szedi fel a horgonyt.	Hiển nhiên chiếc thuyền buồm của bọn cướp cũng không thể nào nhổ neo vào sáng nay.
Könnyen elképzelhető, mennyire felbőszítette ez a nem várt esemény Kongrét és bandáját.	Ta dễ dàng hình dung ra cơn giận dữ của Kongre và bọn cướp trước tình hình thời tiết này.
Háromárbocos, körülbelül ötszáz tonnás jármű volt.	Bộ cột buồm của nó chỉ còn lại là ba khúc gỗ gãy nham nhở.
Árbocaiból csak három csonk ma­radt, amelyek a hajópárkány szintjéig értek: vagy a kapitány vágatta le őket kényszerűségből, hogy könnyítsen a helyzeten, vagy az ütközés pillanatában törtek le.	Căn cứ vào tình trạng đó, ta có thể đưa ra giả thiết: hoặc ông thuyền trưởng cho phép đốn hạ chúng để tàu thăng bằng, hoặc chúng bị gãy lúc tàu mắc cạn.
A tenger felszínén egyetlen maradvány sem úszott, de a félelmetes szélrohamok alighanem az Elgor-öböl mélyére vetették a roncsdarabokat.	Không có mảnh vỡ tàu nào được tìm thấy trên mặt biển, nhưng dưới sức gió như thế này có thể các mảnh vỡ đó đã trôi giạt ra ngoài vịnh Elgor cả.
S ha így volt, akkor Kongre már tudta, hogy egy hajó zátonyra futott a San Juan-fokon.	Nếu như thế thì giờ đây, bọn Kongre chắc cũng đã biết đêm qua có một chiếc tàu lâm nạn trên bãi đá của mũi San Juan.
Vásqueznek tehát elővigyázatosnak kellett lennie, s csak akkor ment közelebb, amikor meg­bizonyosodott arról, hogy a banditák közül senki sem ért még az öböl bejáratához.	Vasquez đã phải hết sức thận trọng và anh chỉ tiến ra khi đã chắc chắn không có tên cướp nào còn ở ngoài cửa vịnh.
Néhány perc alatt odaért a katasztrófa helyszínére.	Chỉ mất vài phút là anh đã tới được chỗ xảy ra thảm họa.
Apály volt, így körbejárhatta a hajóroncsot, és a hátsó névtáblán ezt olvashatta: Century, Mobile.	Nước triều lúc này xuống, anh có thể đi quanh con tàu lâm nạn và trên tấm biển gắn phía lái tàu anh đọc đã hàng chữ Century - Mobile.
Amerikai volt tehát a vitorlás anyakikötője, Alabama állam fővárosa a Mexikói-öböl partján, az Egyesült Államok déli részén.	Vậy ra đây là một tàu buồm Mỹ mà cảng xuất phát của nó là thủ phủ của bang Alabama ở phía nam, trên vịnh Mexique.
Úgy tűnt, hogy a Century legénysége és rakománya odaveszett.	Chiếc Century đã bị mất sạch cả người lẫn của.
A hajótest kettévált az üt­kö­zéskor.	Vì va vào đá nên vỏ tàu đã vỡ làm hai mảnh.
A nagy hullámzás elragadta és szétszórta a rakományt.	Sóng biển đã cuốn đi hầu hết hàng hóa.
Burkolat- és bordázatdara­bok, árbocok és vitorlarudak hevertek szétszórva a sziklazátonyokon, amelyek már az erős szél­löké­sek ellenére is szárazra kerültek.	Các mảnh vỡ của vỏ tàu, rẽ sườn, trục căng buồm... nằm chỏng chơ, rải rác trên bờ đá cho thấy sức mạnh kinh khủng của gió bão.
Ládák, hordók, bálák hevertek szerteszét a fok partjai mentén és a fövenyen.	Những chiếc thùng gỗ, hòm gỗ và các ba lô rải rác trên cát và trên bờ đá.
Mivel a Century váza a szárazon hevert, Vásquez behatolhatott.	Khung tàu của chiếc Century lúc này khô ráo, điều này giúp cho Vasquez có thể đi vào trong.
A hullámok mindent szétszaggattak.	Sóng biển đã làm xáo tung tất cả lên.
Vagy a tengerár sodorta el ezeket a szegényeket, vagy akkor vesztek oda, amikor a Century összezúzódott a sziklákon.	Anh đi sâu vào tận trong khoang tàu nhưng vẫn không thấy xác một người nào cả.
Vásquez visszatért a partra, és ismét meggyőződött róla, hogy sem Kongre, sem társai nem közelednek a hajótörés helyszínéhez.	Hoặc những kẻ đáng thương ấy đã bị sóng biển cuốn đi từ trước, hoặc họ đã chết cả lúc tàu va vào bờ đá.
- Hátha - mondta magában - meglátom innen a Century valamelyik emberét, s ha még él, meg tudom menteni.	"Biết đâu - anh tự nhủ - mình lại không thể tìm thấy ai đó trên chiếc Century vẫn còn sống và như vậy là có thể cứu họ".
Kutatása hiábavalónak bizonyult.	Công cuộc tìm kiếm thật là vô vọng.
Visszatért hát a partra, és nekilátott megvizsgálni a partra vetődött holmikat.	Trở lại bờ đá, Vasquez đứng nhìn những gì còn sót lại của con tàu nằm rải rác trên cát.
- Nem kizárt - gondolta -, hogy egy láda konzervre bukkanok, s lesz két-három hétre elegendő élelmem!...	"Biết đâu đấy - anh tự nhủ - mình lại tìm được một thùng lương thực nào giúp mình sống được vài ba tuần lễ!"
Hamarosan talált is egy hordócskát meg egy ládát, melyeket a tenger a sziklák közé sodort.	Ngay sau đó, anh kiếm được một chiếc thùng gỗ và một phuy tròn mà sóng biển đã ném chúng lên bờ đá.
Ez a kenyér és hús legalább két hónapra elég lesz neki.	Chỗ lương thực này có thể nuôi sống anh ít ra là hai tháng.
Vásquez először a ládát cipelte kétszáz méterre lévő barlangjába, majd a hordót gurította oda.	Vasquez vác ngay thùng bánh về hang cách đó khoảng hai trăm mét, còn chiếc phuy thì phải lăn nó về.
Ezután visszatért a fok csúcsára, hogy még egy pillantást vessen az öbölre.	Sau đó anh bèn quay về phía đầu mũi đá và đứng ngắm ra ngoài vịnh.
Biztos volt benne, hogy Kongre már tudomást szerzett a hajótörésről.	Chắc chắn là Kongre phải biết có tàu đắm ở đảo.
S mivel a Maule-nak amúgy is az öbölben kell vesztegelnie, a banda hamarosan az Elgor-öböl bejáratához fog sietni, hogy hasznot húzzon a hajótörésből.	Khi chiếc Maule còn đang kẹt trong vũng tàu, chắc chắn bọn cướp sẽ phải chạy ra cửa vịnh Elgor, để kiếm chác được chút gì qua vụ đắm tàu này không.
Ha akad néhány érdekes holmi, talán még értéktárgy is, hogyan szalasztanák el a fosztogatók ezt a kiváló alkalmat?	Biết đâu lại chẳng có những thứ có giá trị, làm sao chúng lại bỏ qua một cơ hội tốt như vậy?
Amikor Vásquez a sziklafal fordulójához ért, meglepődött az öbölbe betörő szél hevességén.	Khi tới khúc quanh của vách đá, Vasquez mới bất ngờ làm sao trước sự tàn phá khủng khiếp của gió bão.
A kétárbocos nem tud megbirkózni ilyen széllel, de ha el is jutna a San Juan-fok magasságáig, a nyílt tengerre biztosan nem tudna kifutni.	Đúng lúc đó, trong một khoảnh khắc ngắn ngủi khi mưa bão tạm ngưng, có một tiếng rên rỉ vọng đến.
Ebben a pillanatban rövid szélcsend állt be, és Vásquez kiáltásra lett figyelmes.	Đấy là một tiếng kêu đau đớn bằng một giọng yếu ớt gần tắt hơi.
