Vörös és fekete	ĐỎ VÀ ĐEN (Tập 1)
- Ma, igaz, e fekete ruhában az embernek negyven éves korában, mint a beauvais-i püspöknek, százezer franc a javadalmazása és megkapja a kék szalagot.	Bây giờ, quả đáng tội, với bộ áo dài đen này, đến bốn mươi tuổi, người ta có mười vạn quan lương bổng và huân chương Thánh Linh Bội Tinh, như ngài giám mục địa phận Beauvais.
- No hát!	Thế thì!
- fakadt ki mephistophelesi nevetéssel, - több eszem van, mint nekik; századomnak az egyenruháját választottam.	Anh vừa tự nhủ vừa cười như Méphistophélès , ta thông minh tài trí hơn họ; ta biết chọn bộ đồng phục của thời đại của ta.
- És megkettőződni érezte nagyravágyását és a papi ruhához való ragaszkodását.	Và anh cảm thấy tăng gấp bội nỗi tham vọng của anh và sự gắn bó của anh với bộ áo dài thầy tu.
Lassanként Julien izgatottsága elcsöndesedett; az eszélyesség felülkerekedett.	Dần dần sự sôi nổi của Julien dịu đi; sự thận trọng nổi lên trên.
Elismételte magának, a mit Tartufe mester mond, kinek szerepét kívülről tudta:	Anh tự nhủ, giống như Tartufe thầy của anh, mà anh thuộc Iòng vai trò:
Előbb nyájas szavában bizni nem fogok,	Ta sẽ chẳng tin những lời đường mật đó,
Mig kóstolót kegyéből, melyre szomjazom,	Nếu không có đôi chút đặc ân của nàng, mà ta ao ước,
felvonás, 5. jelenet.	Tartufe , hồi IV; lớp V.
Igen, csakhogy de Croisenois úr négy lakája reámront és elragadja tőlem az eredetit.	Ừ, nhưng bốn tên đầy tớ của ngài de Croisenois xông vào ta và giằng lấy nguyên bản.
Nos hát, az egyikük bátor ficzkó; reám veti magát.	Một đứa trong bọn chúng nó can đảm; nó xông vào ta.
Száz aranyat ígértek neki.	Họ đã hứa cho nó một trăm đồng Napoléon .
Megölöm vagy megsebesítem, sebaj, épp ezt akarták.	Ta bắn nó chết hoặc bị thương, tốt lắm, người ta chỉ mong có thế.
Szigorúan a törvényhez ragaszkodva, börtönbe vetnek; a törvényszék elé kerülök és teljes igazsággal és pártatlansággal a bírák részéről, Poisy-ba küldenek, hogy társuk legyek Fontan és Magalon uraknak.	Họ tống ta vào ngục một cách rất đúng luật; ta phải ra tòa án hình sự, và họ giải ta, với tất cả sự công bằng và công minh của các quan tòa, đi Poissy để làm bạn với các ông Fontan và Magallon .
Ott négyszáz koldús között kell hálnom, a hogy jön... És én könyörületes legyek ez emberek iránt!	Ở đó, ta nằm lẫn lộn với bốn trăm tên đói rách ngổn ngang... Thế mà ta lại còn thương hại những kẻ kia, anh kêu lên và vùng đứng dậy!
- Ez volt az utolsó föllobbanása a hálának, a mit de La Mole úr iránt érzett és a mely eddig, akarata ellenére is, gyötörte.	Câu nói đó là hơi thở cuối cùng của lòng biết ơn của anh đối với ông de La Mole, nó từ trước đến nay làm cho anh dẫu sao cũng vẫn bị dằn vặt.
Csak lassan, nemes uraim, értem én ezt a kis machiavellista cselfogást; Maslon abbé vagy a szemináriumbeli Castanède úr sem eszelhette volna ki jobban.	Thong thả, các ngài quý tộc, ta đã hiểu cái quỷ kế tinh vi đó rồi; tu sĩ Maslon hay ông Castanède ở chủng viện cũng chỉ làm được đến thế là cùng.
Önök elveszik tőlem a léprecsaló levelet és folytatódik velem, a mi Caron ezredessel Colmar-ban történt.	Các ngài sẽ cướp của ta bức thư khiêu khích, và ta sẽ là tập hai của chuyện đại tá Caron ở Colmar .
Egy percznyi türelmet, uraim, egy jól lepecsételt csomagban elküldöm a végzetes levelet letétbe Pirard abbé úrnak.	Khoan, các ngài ơi, để ta gởi lưu trữ bức thư số mệnh này, trong một cái gói niêm phong kỹ càng cho linh mục Pirard.
Ő becsületes ember, jansenista, és mint ilyen, vértezve van a pénz csábításai ellen.	Ông này là một người chính trực, khuynh hướng Jansénistes, và do tư cách đó mà không sợ bị quyến rũ bởi tiền tài.
Igen, de fölbontja a levelet... Fouqué-nak fogom elküldeni.	Phải, nhưng ông ta có thói hay bóc thư ra xem.
Be kell ismerni, Julien nézése rettenetes, arczkifejezése visszataszító volt; a minden takaró nélkül való bűn lélegzett rajta.	Phải công nhận là lúc đó con mắt của Julien thật dữ dội, nét mặt anh thật gớm guốc; nó đầy vẻ tội ác thuần chất.
A szerencsétlen ember állott itt, a ki harczot vív az egész társadalommal.	Đó là con người khổ sở chiến đấu với tất cả xã hội.
- Fegyverre!	Cầm võ khí!
- kiáltott föl Julien.	Julien kêu lên.
Egy ugrással lenn volt a palota följárójának a lépcsőin.	Và anh nhảy thoắt một cái qua các bậc tam cấp của tòa dinh thự.
Belépett egy utczai irnok boltjába; ez megijedt tőle.	Anh đi vào cửa hàng lụp sụp của người viết mướn đầu phố; anh làm cho hắn hoảng sợ.
- Másolja le, - szólt hozzá, odaadva neki de La Mole kisasszony levelét.	Chép cái này, anh nói với hắn và đưa cho hắn bức thư của cô de La Mole.
Míg az irnok dolgozott, ő maga Fouquének írt; kérte, őrizzen meg számára egy becses letétet.	Trong khi người viết mướn làm việc, thì anh viết thư cho Fouqué; anh yêu cầu anh ta giữ hộ anh một vật lưu trữ quý giá.
- De hát, mondá magában félben hagyva az írást, - a postai kémiroda föl fogja nyitni levelemet és visszaadja nekik azt, a melyet keresnek; ... nem, uraim.	Nhưng, anh ngừng lại và nghĩ bụng, phông đen của bưu điện sẽ mở thư của ta và sẽ trả cho các ngài bức thư mà các ngài tìm kiếm.
Ezt elvégezve, vidáman és könnyü szívvel visszatért a de La Mole-palotába.	Xong xuôi rồi, anh vui mừng và lanh lẹ trở về dinh de La Mole.
- Rajtunk a sor!	Bây giờ ta với nhau!
- kiáltott föl, kulcscsal magára zárva szobájának az ajtaját és ledobva ruháját.	Anh kêu lên, và vào buồng riêng, khóa trái cửa lại, và trút bỏ áo dài:
"Hogyan!	"Lạ thay!
kisasszony, - írta Matildnak, - de La Mole kisasszony az, a ki Arsène-nel, apjának az inasával egy nagyon is csábító levelet küld egy Jura-vidéki szegény ácsnak, kétségtelenül azért, hogy mulasson az együgyűségén." És következtek a legnyiltabb mondatok abból a levélből, a mit kapott.	Thưa cô, anh viết cho Mathilde, chính cô de La Mole đã nhờ tay Arsène, đầy tớ của cha cô, trao cho tôi một bức thư quá quyến rũ đối với một anh thợ mộc quèn miền Jura, chắc hẳn là để lỡm cái tính tình ngây thơ chất phác của y...". Và anh chép lại những câu rõ nghĩa nhất của bức thư anh vừa nhận được.
A mi az övét illeti, becsületére vált volna de Beauvoisis lovag diplomatiai furfangosságának.	Bức thư của anh thật xứng đáng làm vẻ vang cho sự cẩn trọng ngoại giao của ngài hiệp sĩ de Beauvoisis.
Hallotta énekelni Geronimo barátját.	Anh được nghe ông bạn Geronimo của anh hát.
Soha még a zene ennyire föl nem lelkesítette.	Chưa bao giờ âm nhạc phấn kích anh đến thế.
Istennek érezte magát.	Anh là một ông trời. *i
XLIV.	CHƯƠNG XIV
EGY FIATAL LEÁNY GONDOLATAI.	TM TƯ CỦA MỘT CÔ GÁI
Mily tanácstalanság!	Biết bao nỗi do dự phân vân!
Hány álmatlan éjszaka!	Biết bao đêm thao thức!
Nagy Isten!	Trời đất ơi!
megvetést fogok érdemelni!	Ta sẽ tự làm cho mình đáng khinh chăng?
Ő maga is meg fog vetni.	Chính chàng sẽ khinh ta.
De elutazik, eltávolodik tőlem.	Nhưng chàng ra đi, mỗi bước một xa.
Musset Alfred.	ALFRED DE MUSSET .
Nem történt küzdelem nélkül, hogy Matild írásra határozta el magát.	Mathilde đã viết thư, không phải là không có đấu tranh.
Bármi volt is a kezdete Julien iránt való érdeklődésének, ez csakhamar úrrá lett kevélysége fölött, mely, a mióta tudott magáról, egyedül uralkodott szívében.	Sự thiết tha của cô với Julien, dù lúc khởi đầu là thế nào đi nữa, chỉ ít lâu đã chế ngự được lòng kiêu hãnh vẫn giữ địa vị độc tôn trong trái tim cô, từ khi cô hiểu biết mình.
E büszke és hideg lelket ezúttal ragadta magával először szenvedélyes érzés.	Cái tâm hồn kiêu kỳ và lạnh lùng kia lần đầu tiên bị lôi cuốn bởi một mối tình đam mê.
De ha úrrá lett is a kevélység fölött, még megtartotta a kevélység szokásait.	Nhưng nếu mối tình đó chế ngự được lòng kiêu hãnh, thì nó vẫn còn trung thành với những thói quen của lòng kiêu hãnh.
Két, küzdelmekkel és új benyomásokkal tele hónap úgyszólván megújította egész belső lényét.	Hai tháng trời đấu tranh và cảm giác mới lạ có thể nói là đã đổi mới tất cả con người tinh thần của cô.
Matild a boldogságot vélte megpillantani.	Mathilde tưởng trông thấy hạnh phúc.
Ennek a fölismerésnek, mely a magasabbrendű elmével párosult bátor lelkekre mindenható benyomást tesz, sokáig kellett viaskodnia a méltósággal és a köznapi kötelességek minden érzésével.	Cái cảnh tượng hạnh phúc đó có uy lực tuyệt đối với những tâm hồn dũng cảm đi đôi với một trí óc ưu việt, cái cảnh tượng đó đã phải đấu tranh dai dẳng với lòng tự trọng và tất cả mọi ý niệm bổn phận thông thường.
Egy izben reggeli hét órakor ment be az anyjához és kérte, engedje meg, hogy Villequier-be menekülhessen.	Một hôm, cô vào buồng mẹ, lúc mới bảy giờ sáng, xin mẹ cho phép cô được về ở ẩn cư ở Villequier.
A marquisné még csak válaszra sem méltatta és azt mondta neki, hogy feküdjék vissza az ágyába.	Bà hầu tước không buồn trả lời nữa, và khuyên cô nên trở về giường ngủ lại.
Ez volt a hétköznapi okosságnak és a beléje nevelt eszmék tiszteletének utolsó erőfeszítése.	Đó là sự cố gắng cuối cùng của đức hạnh thông thường và của lòng tôn trọng những tư tưởng nền nếp thông tục.
Annak az aggodalma, hogy hibát követ el és beleütközik azokba az eszmékbe, melyeket a Caylus-ok, a de Luz-ok, a Croisenois-k szentnek tartottak, vajmi kevéssé nyugtalanította; ezeket az embereket olybá vette, mint a kik nem érthetik meg; akkor kérte volna ki véleményüket, ha hintót vagy valami birtokot akart vala venni.	Sự e sợ hành vi sai trái và sợ xung đột với các quan niệm mà những hạng Caylus, de Luz, Croisenois coi là thiêng liêng, không có uy lực gì mấy đối với tâm hồn của cô; những hạng người kia, cô thấy không phải là hạng người hiểu nổi cô; cô rất có thể tranh thủ ý kiến họ nếu là vấn đề tậu một cái xe ngựa hay một miếng đất.
Igazában attól rettegett, hogy Julien nem lesz vele megelégedve.	Nỗi kinh hãi thật sự của cô, là chỉ sợ Julien không bằng lòng về cô.
És nem lehet-e, hogy csak látszólag kiváló ember?	Cũng có thể anh chỉ có những bề ngoài của một con người ưu việt chăng?
Matild irtózott a jellem-gyöngeségtől, ez volt egyetlen kifogása ama csinos fiatal emberekkel szemben, a kik körülvették.	Cô rất ghét sự thiếu khí phách, đó là điều duy nhất cô chê những chàng thanh niên tuấn tú xúm xít chung quanh cô.
Minél könnyedébben gúnyolták mindazt, a mi kívül esett a divaton vagy csak kevéssé egyezett vele, holott alkalmazkodni akartak hozzá, annál többet vesztettek előtte.	Họ càng giễu cợt ý nhị tất cả những cái gì đi xa thời thượng, hoặc tưởng là theo đúng thời thượng, mà lại theo sai, thì họ càng bị cô chán ghét.
Bátrak, ez minden.	Họ dũng cảm, có thế thôi.
De még bátorságukat is hol tüntetik ki?	Mà dũng cảm thế nào chứ?
Minden eleve meg van állapítva, még az is, hogy mit kell mondania annak, a ki elesik.	Cái gì cũng đã được biết trước; ngay cả những điều người ta phải nói khi ngã xuống.
A pázsiton elterülve, kezét a szívére szorítva, nagylelkűen meg kell bocsátania az ellenfélnek és egy végső üdvözletet kell küldenie egy szép hölgynek, a ki gyakran nem is létezik, vagy pedig a ki még a halál napján bálba megy, nehogy gyanúba fogják.	Nằm sóng soài trên bãi cỏ, và bàn tay ấp vào trái tim, phải có một lời tha thứ hào sảng cho đối phương và một lời nhắn gửi một người đẹp nhiều khi tưởng tượng, hoặc cô ta đi dự vũ hội cái ngày mình chết, kẻo khiến cho thiên hạ ngờ vực.
Csillogó fegyverzetű lovascsapat élén szembeszállnak a veszélylyel; de hol van a magányos, a különös, a váratlan, a valóban rút veszély?	Người ta xông pha nguy hiểm ở hàng đầu một tiểu đoàn ky binh sáng loáng những sắt thép, nhưng sự nguy hiểm đơn chiếc, khác thường, bất ngờ, thật sự lem nhem, thì sao?
