A KASTÉLY	LÂU ĐÀI
K. azonban így is észrevette, hogy Jancsi még mindig jóindulattal van iránta, s csupán akkor feledkezik meg minden egyébről, ha anyjáról van szó; ha valaki anyjával került szembe, az Jancsi szemében rögtön igazát vesz­tette, ezúttal K., de lehetett más is, például apja.	Nếu ai đó đối lập với mẹ thì trong mắt của Jáncsi, lập tức người đó mất đi sự tin cậy, trong trường hợp này là K., nhưng cũng rất có thể đó là người khác, ví dụ bố cậu.
K. most ebben az irányban tett kísérletet; azt mondta, kétségkívül okos dolog az apa részéről, hogy ilyen elszántan védi Jancsi anyját mindenféle háborgatástól, s ha ő, K. annak idején mindezt akár csak sejti is, aligha meri megszólítani az édesanyját, s azért, amit tett, most, utólag is bocsánatot kér.	Bây giờ K. thử kiểm tra điều đó, chàng nói là chắc chắn về phía bố cậu ta, việc bảo vệ mẹ cậu một cách kiên quyết trước sự quấy rầy là việc làm sáng suốt. Nếu hồi đó dù K. chỉ linh cảm thấy điều ấy thôi thì chàng cũng đã không dám bắt chuyện với mẹ cậu, giờ đây chàng xin lỗi vì việc đã làm.
Azt viszont nem érti egészen, hogy ha a betegség okát oly világosan látják, ahogyan Jancsi mondja, miért nem engedi az apa, hogy édesanyjuk valamilyen más levegőn összeszedje magát; azt kell mondani, hogy nem engedi, mert édesanyja miatta meg a gyerekek miatt nem megy el innét, de hát a gyerekeket magával vihetné, s nem is kellene se nagyon hosszú időre, se nagyon messzire távoznia, hiszen már fönt a várhegyen is egészen más a levegő.	Nhưng chàng hoàn toàn không hiểu rằng nếu đã thấy rõ nguyên nhân của căn bệnh như Jáncsi nói, thì tại sao ông bố không để cho mẹ cậu lấy lại sức khỏe ở một nơi nào đó có khí hậu khác, cần phải nói rằng ông đã không để, vì mẹ cậu vì ông và các con mà không đi khỏi đây, nhưng bà có thể đưa các con đi cùng, không cần phải đi quá lâu và đi quá xa, bởi vì ngay ở trên núi Lâu đài khí hậu cũng đã hoàn toàn khác rồi.
Az apa nem félhet az effajta üdülés költségeitől, ő a falu legtehetősebb cipésze, s bizonyára vannak neki, vagy az anyának rokonai, vagy ismerősei is a kastélyban, akik szívesen befogadnák őket.	Ông bố không lo về phí tổn của chuyến đi nghỉ kiểu đó, ông là thợ giày khá giả nhất của làng, và chắc chắn ông hoặc mẹ cậu có họ hàng hay người quen ở trong Lâu đài, sẵn sàng đón họ vào.
Miért nem engedi hát, hogy elmenjenek?	Vậy thì cớ gì ông không để cho họ đi?
Nem szabad semmibe vennie a betegséget: K. ugyan csak futólag látta az anyát, de éppen föltűnő sápadtsága és gyengesége miatt szólította meg; már akkor csodálko­zott rajta, hogy az apa a beteg asszonyt ott hagyja a közös fürdőszoba és mosókonyha rossz levegőjében, és harsány hangját sem mérsékli előtte.	Không được coi thường bệnh tật: Đúng là K. chỉ thoáng nhìn thấy mẹ cậu, nhưng do sự vàng vọt và ốm yếu dị thường của bà mà chàng bắt chuyện với bà.
Az apának nyilván fogalma sincs róla, miről van szó; ha javult is a betegség az utóbbi időben, az ilyen betegségek szeszélyesek; ha nem küzdünk ellenük, végül minden erejüket összeszedve támadják meg az embert, s akkor aztán nincs többé segítség.	Ngay lúc đó chàng đã ngạc nhiên trước việc ông bố đã bỏ người đàn bà bệnh tật ở chỗ khó thở của nhà giặt và phòng tắm chung, và không hề giảm bớt giọng nói oang oang của mình trước bà.
Ha már K. az édesanyával nem beszélhet, talán mégis jó lenne, ha legalább az apával beszélne, és fölhívná minderre a figyelmét.	Nếu một khi K. không thể nói chuyện được với mẹ cậu, thì có lẽ vẫn là tốt nếu chí ít chàng có thể nói chuyện với ông bố, lưu ý ông về những điều đó.
Jancsi feszülten figyelt, a hallottak jó részét megértette, s erősen hatott rá a burkolt fenyegetés abban, amit nem egészen értett.	Jáncsi nghe vẻ chăm chú cao độ, cậu hiểu gần hết những điều đã nghe, trong những điều mà cậu chưa hoàn toàn hiểu hết cậu lại cảm thấy một sự nguy hiểm ngầm.
Mégis azt felelte, K. nem beszélhet az apjával, mert az apa ellenszenvet érez K. iránt, és alighanem úgy bánna vele, mint a tanító.	Thế nhưng cậu đã trả lời là K. không thể nói chuyện được với bố mẹ cậu, bởi vì ông bố có ác cảm đối với K.. Và chắc là ông sẽ đối xử với chàng như thầy giáo.
Mindezt mosolyogva és félénken mondta, ha K.-t, és kesernyésen és szomorúan, ha az apját említette.	Nếu nhắc đến K., cậu mỉm cười nói những điều này vẻ phấn chấn, nếu nhắc đến ông bố, cậu nói vẻ xót xa buồn bã.
De hozzátette: K. talán mégis beszélhet édesanyjával, ám csak apjának tudtán kívül.	Nhưng cậu còn nói thêm: Tuy thế K. vẫn có thể nói chuyện với mẹ cậu, nhưng không được để bố biết.
Mert semmit sem tesz az apa akarata ellenére, mindenben engedelmeskedik neki, még olyasmiben is, aminek oktalanságát ő, Jancsi is belátja.	Bởi vì bà mẹ không làm điều gì trái ý ông bố, bà vâng lời ông trong mọi chuyện, kể cả mà Jáncsi cho là vô lý.
Jancsi most valóban segítséget keresett K.-nál apja ellenében; mintha csak magát áltatta volna, amikor azt hitte, ő akar segíteni K.-nak, holott a valóságban azt akarta kifürkész­ni, hogy mivel régi környezetéből senki sem tudott segíteni, nem lenne-e képes rá ez a várat­lanul felbukkant idegen, akit ráadásul maga édesanyja is emlegetett.	Đúng là bây giờ Jáncsi tìm kiếm sự giúp đỡ ở nơi K. bất chấp ý muốn của bố, hóa ra cậu đã tự lừa dối mình khi tưởng rằng cậu muốn giúp đỡ K., trong thực tế cậu muốn tìm hiểu xem con người lạ mặt đột nhiên xuất hiện mà đến mẹ cậu cũng nhắc tới này, có khả năng giúp đỡ họ không, khi những người quen trước đây không còn một ai giúp được.
Milyen ösztönösen zárkózott, szinte alattomos volt ez a fiú!	Cậu bé này mới kín đáo và láu lỉnh làm sao!
Megjelenéséből, szavaiból eddig alig lehetett ezt észrevenni; csak azokból a határozottan hátrányos vallomásokból derült ki, melyeket véletlenül vagy szándékosan húztak ki belőle.	Qua dáng điệu cử chỉ và lời nói của cậu ta, không thể nhận ra điều ấy, chỉ từ những lời cậu ta tự thổ lộ ra một cách tình cờ hoặc cố ý, thì mới rõ.
S most hosszasan meghányták-vetették K.-val, milyen nehézségeket kell legyőzni.	Bây giờ cậu mới bàn bạc cân nhắc với K. là cần phải vượt qua những khó khăn gì.
Nem, ez mégis lehetetlen.	Không, việc này vẫn không thể thực hiện.
K. szerint, ezzel szemben, nem volt lehetetlen.	K. có chứng minh là có thể được.
Nem, mondta Jancsi, K. semmiképp sem várhat a ház környékén - megint elfogta az anyjáért való aggódás -, édesanyja tudta nélkül K. nem indulhat útnak, Jancsi nem mehet bele semmiféle olyan megállapodásba K.-val, amiről édesanyja ne tudna; K.-t az iskolából kell elvinnie, s egy pillanattal sem előbb, mintsem édesanyja tudná és megengedné.	Không được, Jáncsi nói, K. không thể chờ ở gần nhà, - cậu ta lại lo lắng vì mẹ - nếu mẹ cậu không biết, K. không thể đến. Jáncsi không thể thỏa thuận gì với K. mà mẹ cậu không được biết.
Jól van, mondta K., akkor valóban veszélyes, és megeshetik, hogy Jancsi apja ott éri a házban; de ha nem így történnék is, az anya annyira félne ettől az eshetőségtől, hogy egyáltalán nem egyezik bele K. jövetelébe, s így mégis minden megbukik az apán.	Cậu ta phải đến đón K. không sớm hơn thời điểm mẹ cậu biết và cho phép dù chỉ chốc lát. Được rồi, K. nói, thế thì quả thật là nguy hiểm, và có khả năng là bố Jáncsi bắt gặp chàng ở trong nhà.
Ez ellen Jancsi megint tiltakozott, s így folyt tovább a huzakodás.	K. đã gọi Jancsi rời chỗ chiếc ghế đến bục giảng từ lâu.
K. már régen odahívta Jancsit a padból a katedrára, két térde közé vonta, és nyugtatóan meg-megsimogatta.	Chàng kéo cậu vào giữa hai đầu gối mình và vuốt ve cậu vẻ an ủi.
Ennek a közelségnek is része volt benne, hogy bár Jancsi egy ideig vonakodott, végül mégis egyetértésre jutottak.	Cử chỉ gần gũi này cũng góp phần để cuối cùng họ đi đến thỏa thuận, mặc dù Jáncsi đã lảng tránh một lúc.
A következőkben egyeztek meg: Jancsi hamarosan közli édesanyjával a teljes igazságot, de hogy megkönnyítse beleegyezését, hozzáteszi, hogy K. magával Brunswickkal is szeretne beszélni, nem ugyan az anya miatt, hanem a saját ügyében.	Họ thỏa thuận như sau: Jancsi sẽ nhanh chóng thông báo với mẹ toàn bộ sự thật, nhưng để cho bà dễ dàng đồng ý, cậu nói thêm rằng K. cũng muốn nói chuyện với Brunswick, không phải vì mẹ cậu, mà là vì việc riêng của chồng.
S ez így is volt, K.-nak ugyanis a beszélgetés közben eszébe jutott, hogy Brunswick tulajdon­képpen nem lehet ellensége, akármilyen veszélyes és dühös ember is egyébként, hiszen, legalábbis az elöljáró tudósítása szerint, ő állt azoknak az élén, akik, ha politikai okokból is, földmérő szerződtetését kívánták.	Điều này cũng đúng như vậy, vì trong khi nói chuyện K. đã nhận ra rằng Brunswick thực ra không thể là kẻ thù của chàng, cho dù ông ta là một người nguy hiểm và nóng tính, bởi vì - ít ra theo trưởng thôn cho biết - thì ông ta, dù với lý do chính trị, đã đứng về phía những người muốn thuê đạc điền.
És ha ez megtörténik, K. támaszt kap nemcsak a tanítóval, hanem még az elöljáróval szemben is, és leleplezhetik az egész hivatali csalafintaságot - mert mi más lenne?	- mà thầy giáo và trưởng thôn dùng để giữ chàng ở xa các nhà chức trách của Lâu đài, và buộc chàng phải phục vụ nhà trường.
-, mellyel az elöljáró és a tanító a kastélybeli hatóságok­tól távol tartják, és iskolaszolgaságra kényszerítik, s ha kiújul a harc K. körül Brunswick meg az elöljáró közt, Brunswicknak a maga oldalára kell vonnia K.-t, K. vendég lesz Brunswick házában, rendelkezésre állnak majd Brunswick hatalmi eszközei az elöljáróval szemben; ki tudja, mi mindent el nem érhet így, s mindenesetre gyakran lesz az asszony közelében - így játszott álmaival, így játszottak vele álmai, miközben Jancsi, aki csak anyjával törődött, aggá­lyosan figyelte K. hallgatását, olyasformán, ahogy orvost figyelünk, mikor töprengve azon tűnődik, hogyan nyújthat segítséget valamilyen súlyos esetben.	Nếu như cuộc chiến giữa Brunswick và trưởng thôn lại nổ ra chung quanh K. thì Brunswick sẽ phải kéo K. về phía mình, K. sẽ là khách trong nhà Brunswick, và các sức mạnh của Brunswick sẽ được K. sử dụng để chống lại trưởng thôn.
K.-nak azzal a javaslatával, hogy beszélni akar Brunswickkal a földmérői állás ügyében, Jancsi egyetértett, de csak azért, mert így anyja védelmet nyert az apával szemben, és mert ráadásul az egész csak olyan szükség esetére szólt, amely remélhetőleg nem fog bekövetkezni.	Ai biết được làm như vậy, chàng có thể đạt được cái gì, nhưng tất nhiên là chàng sẽ thường xuyên ở gần người đàn bà đó.
Most már csak azt kérdezte, hogyan magyarázza meg K. az apának, miért jött ilyen későn, s végül, bár kissé elkomorult az arca, beérte annyival, hogy K. majd azt mondja, a tűrhetetlen iskolaszolgaság és a tanító becs­mérlő viselkedése hirtelen annyira elkeserítette, hogy kétségbeesésében minden tapintatról megfeledkezett.	Chàng mơ màng như vậy, và những mơ ước của chàng cũng đùa nghịch với chàng, trong khi đó Jancsi, người chỉ quan tâm đến mẹ mình, đã chú ý tới sự im lặng của K., vẻ lo lắng giống như chúng ta chú ý đến bác sĩ, khi ông ta đang nghĩ ngợi xem có thể giúp được gì trong ca bệnh hiểm nghèo nào đó.
Többek között azt is megkérdezte Jancsitól, mi akar lenni; a fiú nem sokat habozott, és kijelentette, olyan ember szeretne lenni, mint K. Mikor aztán afelől kérdezősködött, hogy miért, a fiú persze nem tudott mit felelni, arra a kérdésre pedig, szeretne-e iskolaszolga lenni, határozott nemmel válaszolt.	Và cuối cùng, mặc dù nét mặt vẫn hơi buồn, cậu ta đã hài lòng rằng K. sẽ nói là công việc phục vụ ở nhà trường không thể chịu được và sự đối xử của thầy giáo hay thóa mạ đã đột ngột làm cho chàng buồn phiền đến nỗi trong sự tuyệt vọng của mình, chàng đã quên hết mọi sự thận trọng.
Csak amikor tovább faggatták, derült ki, milyen kerülővel jutott kívánságára.	Trong nhiều câu hỏi, cô đã hỏi Jáncsi muốn trở thành người như thế nào.
Mégis K.-hoz járult, és segítséget kért tőle, és boldog volt, amikor K. beleegyezett a dologba, amellett mintha másoknál is ilyesmit észlelt volna, mindenekelőtt pedig maga az édesanyja tett említést K.-ról.	Chỉ khi họ tiếp tục chất vấn thì mới rõ cậu đã đến với điều mong muốn đó bằng con đường vòng như thế nào.
Ebből az ellentmondásból támadt benne az a hiedelem, hogy K. jelenleg ugyan alacsony sorban tengődik, és riasztó jelenség, de vala­milyen, szinte elképzelhetetlenül távoli jövőben mégis mindenkit fölül fog múlni.	Dường như ở những người khác cậu cũng nhận thấy có thái độ như vậy đối với K., chính mẹ cậu cũng đã nhắc đến K.. Từ mâu thuẫn đó mà xuất hiện trong cậu sự tin tưởng rằng dẫu cho hiện tại K. đang sống vất vưởng, thuộc hạng thấp kém, và là người đáng sợ, nhưng trong một tương lai xa, hầu như còn rất mơ hồ chàng sẽ vượt lên tất cả mọi người.
